Year,Mean_asmmeg,Mean_chattisgarh,Mean_coastalkar,Mean_gnbwl,Mean_gujarat,Mean_kerala,Mean_kngoa,Mean_marathwada,Mean_mpmah,Mean_nwest,Mean_orissa,Mean_pen,Mean_saurashtra,Mean_shwbl,Mean_southkar,Mean_telangana,Mean_vidarbha,Mean_wmp,Mean_westup
1999,3822.5,2953,7424.5,3559.75,1156.75,3790,5530,1778.25,1257.5,831.25,2938.75,1376.25,432,5605.75,1092,1640,2182,2174.25,1999.5
2000,4023.5,2264.75,6706.25,2997.75,1236.75,4050.5,6138.75,1923.5,1312.5,888.25,2364,1717.75,724.5,5316.5,1248.5,2012.5,2217.75,1370.25,2171
2001,2874.5,3135.5,6676.75,2737.5,1873,4216.25,4538.5,1364.75,1250,1104.25,3627.25,1516.5,1106,4433.25,994,1350.75,2160.75,1663,1856.75
2002,3483,2111.5,5180,3463.75,1492,3230.5,4695.75,1740,1273.5,728.5,2271.75,1084.25,849.75,4974.75,717.5,1134.5,2371.5,1561,1367.25
2003,3277.5,3120.75,7657.25,2808.25,2762,3951.5,5817.5,1531.25,1154,1288.75,3161.75,1444.25,1489.5,4524.25,704.25,1656.5,2332,1984.25,2740
2004,3380.5,2674.25,5713.25,2866,2349.75,3475.25,5500.5,1334.5,1642,1050,2637,1433.75,983.75,4648.25,1284.5,1288.5,1837.5,1574.75,1636
2005,3235.5,2876,6758.25,2580.25,3221.25,4339.75,6507.75,2431.75,2337.75,1330,2978,1747.25,1425.5,4317.25,1849,1994.5,2517.5,1610.5,1896.75
2006,2683,2389.75,6617,3462.25,2934,4947,6103.75,2256.5,2301.75,1458.75,3769.5,1529,1692,4233.5,1094.25,1660.5,2703.5,2538.5,1443
2007,3683.25,2620.75,8409.75,4238,2780.75,6176.75,7361.75,2034.75,1864.5,1368.75,3492,2213,2345.75,4809.5,1566.5,1851.75,2277.25,2077.25,1729.75
2008,3523.5,2813.5,5934.5,2876,2345.5,4033.25,6121,1459.5,1529,1308.75,3925.25,1540.25,1378.5,5636.75,1494,1890.75,2238.25,1779,2541.5
2009,2660.25,1968,7047.25,2423.75,1433.25,4357.25,4885.25,1310,1402.75,925.25,2935,1609.5,1414.25,3901.75,1600.5,1182.25,1603.25,1592.75,1076.5
2010,2990.25,2563,7250.25,1973,2354.25,4397,7272.25,2161.5,1730.25,1608.25,2471.5,1864.5,2234.75,5674,1393.75,2382.5,2946.75,1803.5,1893.5
2011,2666,3204.5,8786.25,3445,2108.75,5312.25,7586.25,1560,1490,1542.75,2801.5,1696.5,1640.75,4662.25,1203,1534.5,2228.5,2684.75,1871.25
