Year,annual_Mean_saurashtra,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1927,511.9166666667,-409.7398730007,-161.7188975108,155.8343473736,299.3927810255,-507.6917218487,413.4204114886,-509.7596274993,455.6988194509,-306.8744207075,485.7012165921,487.6210924374,415.238047728,-65.6337502928,301.8977260195,-46.9446033418,233.2322009548
1928,399.4166666667,-118.0234696465,-237.0581498035,39.8708858875,180.0676228677,-386.5847727257,296.1914667486,-392.8524826877,340.1879504859,-381.5810978334,321.4608953246,397.4216728736,356.5239470301,-100.4285174032,267.9632225445,-72.1151888112,209.2984279811
1929,356.9166666667,114.9916364146,-290.1998781083,-38.9489794276,109.1153833861,-331.4868990154,238.2099567998,-343.8655552858,288.3874181242,-337.8852327332,207.7824287335,354.7851236256,339.8283979496,-132.3100250382,265.7922561436,-95.634652885,210.2907606437
1930,328.4166666667,268.2866692125,-313.0234181003,-102.8964809469,50.2762338653,-287.3637623954,192.4377661221,-307.2511128812,249.368261897,-189.4195609416,99.3672313456,311.8811009876,324.5455395669,-158.9955188251,266.1300680389,-115.992502248,213.71236956
1931,254.25,254.2277300421,-254.2444324496,-128.0952035091,-0.8412935575,-205.2962499221,126.6389691363,-228.8623400105,179.4842104657,3.3650821174,-1.6825779037,219.6239543811,254.2486081086,-149.9883737758,220.4668546428,-110.7478750357,180.0790956594
1932,329.6666666667,264.1807512319,-312.867143343,-221.6428691204,-52.6224422452,-239.7328459322,133.4388347854,-282.6894545946,213.6963335955,197.2020329248,-103.8954365095,244.0380086774,325.439686706,-226.2924516911,301.4534598943,-169.6077338217,251.0258714137
1933,647.6666666667,192.3639664378,-521.5648761375,-525.5674373761,-202.0791012608,-411.5795258374,198.8461727532,-523.2873249519,379.8632735568,618.4401470858,-383.9820192285,378.4851118354,615.3341758303,-500.0743994873,616.3864945735,-381.6313491524,524.5722109623
1934,313,-100.3704897647,-182.418525243,-286.4584528238,-142.9545410243,-167.0642166761,64.4496092546,-235.3497342247,163.132198936,296.470512504,-254.3471675647,126.1370477132,278.4474801476,-264.6857523676,306.2927486359,-206.3480133182,267.1270964734
1935,406,-331.2918577934,-123.1493112767,-397.4613361622,-239.6219727212,-171.9870570107,41.6335052461,-280.0695710406,183.779050867,234.6949189049,-386.8723912766,82.8280523504,327.745801177,-367.7722831057,403.8596925182,-293.9337261648,362.0238396327
1936,296.75,-296.7298863841,1.727529381,-296.7477651313,-210.4438248605,-91.043350112,-0.5758460182,-184.6344445208,113.1621789129,-3.4550002159,-296.7449715534,-1.151689868,209.2222719456,-282.4387914228,296.7494412823,-232.3159150736,274.3262360105
1937,379.3333333333,-304.3424977457,119.2613173517,-370.7436332826,-307.5171302761,-70.2358607152,-40.3630991907,-208.4611527411,116.7096390472,-226.427520067,-360.0979255165,-80.2679024154,222.0968085419,-372.7743307248,377.1797953251,-316.9191151944,360.9330103097
1938,267.75,-79.9317187839,158.5691407488,-244.2006196383,-238.9005545572,-16.2239130755,-56.1486713638,-126.5074650595,62.146757829,-255.5405698363,-215.7449654156,-109.8003636983,120.8990799479,-267.2580160529,261.7964652246,-235.9786511196,260.4377910199
1939,145.3333333333,46.3851010636,118.0319429907,-117.2720661349,-138.3397149997,9.4355705142,-45.1566025045,-56.9155353932,22.5433567207,-137.7323497842,-84.7952723423,-85.8431143553,44.5410039352,-145.0267140455,138.1399979297,-133.7250896753,143.5742833711
1940,301,245.3354991958,286.7463907863,-200.6339802391,-297.4152514807,57.0148075542,-122.9027500669,-92.5899712418,23.2272394432,-174.3889125901,-91.5287242948,-224.3813850867,46.315960388,-295.5508614766,274.7651979891,-286.4054769474,300.1024747446
1941,343.6666666667,343.6493098103,343.6623274252,-170.8352899143,-343.6655818546,106.8556133391,-172.3316325344,-75.9918930951,-0.4317486274,3.4539317794,1.7269876952,-298.1980575016,-0.8634965733,-326.632294294,297.3358138634,-335.1596783052,343.6663954636
1942,257,206.4374398343,244.0321925868,-78.6240577209,-253.7373381026,109.8776815593,-151.3978486732,-34.1438508375,-20.4756453821,153.0770506467,80.6057627053,-244.6778648499,-40.821112829,-232.3271294859,207.6720766428,-254.7218040333,256.1830360234
1943,392.5833333333,117.7949478409,316.5169876044,-39.8108398066,-373.0824089001,210.9803426882,-263.1469184857,-17.0857686678,-61.8697741917,374.4943576,232.2470024972,-390.5595609443,-122.1932476873,-331.0724522068,291.3337826318,-392.2113589892,387.6774492443
1944,537.8333333333,-170.8447902802,314.1485885734,57.8401971841,-478.6565976767,343.5810938771,-400.2331073865,24.827862017,-126.1491597158,509.9772074108,436.5493772092,-534.7141348741,-245.2601801047,-413.7834293137,359.2744830852,-537.259966601,522.8298805036
