Year,annual_mean_westrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1967,311.3333333333,-251.5499135236,-96.4690918569,-304.4917395291,182.885757391,-132.6589222132,32.6344618799,267.2233707241,-277.3687770029,-183.4423218635,296.0104031292,-64.9093599028,251.9548455338,281.6559156163,-309.6182106114,159.7501630148,-141.4036986374
1968,96.5,-29.687024931,-56.77786582,-88.1381544724,43.778910153,-51.730913325,20.0862900185,78.0583882446,-82.2706351919,-91.8200988387,78.0289943093,-39.2926930382,85.9980059409,81.4626454675,-94.3863917802,56.7374481683,-50.436024676
1969,85,26.3579017288,-68.7947005479,-68.7475949417,26.2435749606,-54.1958595649,26.2816897284,64.002033555,-68.7593770756,-80.8100304198,49.9228322166,-49.9876803796,80.8472310799,65.4813622798,-80.8348488279,55.9351383375,-49.9714725035
1970,290.8333333333,235.4280145662,-276.6354478498,-194.5469047812,45.4379706934,-212.0407455465,118.3285742552,200.959637181,-221.1322050883,-170.7561938414,89.7599953806,-216.1840179518,287.2619337765,199.0546407544,-265.6734391927,210.2361814766,-188.9036147101
1971,193,192.9999764042,-192.9999941011,-96.4724487685,-0.0238589312,-156.1514982931,96.5137746326,120.3228722222,-136.4631731023,0.0954357211,-0.047717862,-167.158806614,192.9999985253,113.427111313,-167.1349493857,150.9019761972,-136.4800439143
1972,174,140.7509591189,-165.4791027391,-53.7592510314,-27.2271566951,-152.4803121221,102.2787620196,95.8524245392,-113.0010502939,102.2994013038,-53.7835156591,-165.4869871879,171.8565737419,83.8197734139,-140.7659576735,145.2181555797,-132.3131234325
1973,352.75,109.0535757313,-285.3955249642,-36.8890880776,-108.9937866781,-327.9749524006,236.0295920861,167.1634975578,-207.3463337623,335.4696411305,-207.3209030233,-350.8158458234,335.4890713057,129.8652882715,-262.1499459464,310.6266691452,-285.3770494895
1974,153.8333333333,-47.4696474305,-90.4496554666,16.0564467517,-69.8230708475,-148.9968475618,114.3125346796,60.4696684821,-80.3852558383,146.3260982097,-124.4329308118,-152.9930879555,137.0745535169,38.2705351555,-102.9433769582,141.4500393711,-131.1598455635
1975,429.8333333333,-347.5453906376,-132.9851508666,132.7195627888,-252.5819112324,-426.4355637447,347.7096392944,132.8713342717,-195.1775724817,252.9207304493,-408.7439835562,-408.8302974311,347.7917085881,53.9388952259,-252.6948776414,408.7809963456,-382.965285169
1976,379.9166666667,-379.9164375821,-0.2086061465,189.8378817882,-268.5678877484,-379.9166575033,328.9827114509,84.5975178703,-145.4359943825,0.4172122301,-379.9166093956,-329.0869979949,268.7153945748,0.0834424621,-190.0185495617,370.3780954394,-350.9772715563
