Year,annual_mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1953,869.4166666667,263.5096046907,-701.7780925701,793.5158084444,269.951634831,841.8323708944,-850.2297364251,655.2415646141,-703.7704848862,828.5215920624,-513.2181301031,355.2717298445,-826.4450708486,217.2638938989,-181.6445308188,-571.4401388421,510.4825608
1954,909.9166666667,-286.2887567324,-532.6581591639,735.0830808959,414.2908420534,845.6226370792,-865.104816473,736.589300872,-776.1824792887,863.7054405563,-737.7151386233,536.2846300786,-810.1305070595,335.9623430342,-282.0319074023,-534.2139478886,474.8569248974
1955,1041.0833333333,-845.6622332137,-318.9432945809,695.1776454835,613.1100874549,911.746883113,-950.6819571663,894.1429348565,-927.942131949,607.2148666332,-991.0245616463,774.972611235,-841.397960305,502.5655460516,-424.3327977694,-533.2568977431,471.9935451871
1956,951.4166666667,-951.4034426284,2.50814378,474.2595202446,673.6393558151,769.1221235815,-823.5326604019,857.5074807631,-879.2341508541,-5.0162701293,-951.4133606514,824.7857788957,-671.8658287993,560.0400277021,-476.4321891545,-412.1584574487,363.5120102322
1957,889.25,-716.8201926814,276.8873472715,273.396434803,720.0651484627,647.6319109636,-718.9865583405,832.7677788962,-845.8970078474,-526.2455452203,-845.0437618378,846.1796215562,-521.7966504966,609.375475714,-523.2818470248,-311.8707888409,274.2696020612
1958,993.8333333333,-302.7267786164,586.0224957127,102.3565598285,886.0342501187,632.7830162517,-738.0481202087,958.1932956453,-966.5079065086,-946.6050876437,-802.671993384,988.5483443436,-450.1644166979,766.3487122634,-665.5746890475,-263.761829355,231.4458059692
1959,1221.5,382.4756826198,989.7616623006,-129.4294354906,1162.1222225954,653.6217516834,-816.6897190942,1202.004269236,-1206.5642429851,-1160.0752571297,-715.8450264128,1214.6235100757,-376.2102998988,1031.9112634943,-908.3392277811,-217.3660202022,190.4336565575
1960,844.5833333333,685.2617051232,803.7666396607,-262.0609174862,834.3167607963,358.9948731775,-495.978186878,841.2263954195,-842.0127783572,-493.6976832395,-259.3842630401,802.8979278032,-131.288040578,764.4891679917,-683.6129351363,-75.2273792833,65.8444229044
1961,1156.0833333333,1156.0755061522,1156.0813765364,-579.2692980094,1156.082844134,356.4401133679,-577.4275247469,1156.0831735947,-1156.0832110335,4.2541375267,2.1270723636,1000.4877580434,1.0635366319,1099.7632105109,-1001.5518595039,0.6077352759,-0.5317683722
1962,947.75,764.8690586279,900.8703327379,-634.9572636331,935.9567084947,176.9647588641,-384.9995557736,943.8937342809,-944.7970768837,559.6475548536,294.3853021003,703.6045308691,149.0473157216,931.0819172448,-866.0285240996,85.4089040165,-74.7565783867
1963,888.8333333333,272.0912233479,718.2856129227,-719.6107865812,845.1215563645,55.270467597,-274.2358841443,874.4803471329,-877.8373723132,846.162549763,523.5365056161,521.7135327749,275.3075542234,887.1132226813,-845.4699132979,159.0874505509,-139.3780549963
1964,902.25,-281.1471570742,529.3345067298,-824.5792899735,803.6314830807,-57.1433497943,-187.1876039183,869.6420116837,-877.2489863515,857.3280227364,730.6572674552,366.2295141667,410.1603368215,900.4386153838,-882.6187531654,240.370202011,-210.9248170444
1965,673.25,-545.6211016248,207.2753673632,-658.6499062421,544.4325961849,-126.4726413118,-70.1053247711,630.2387904748,-640.2362094889,394.4149793831,640.5485809714,139.4484259765,396.0539239944,661.2641178074,-669.5900282552,236.7797066493,-208.2382254997
1966,957.4166666667,-957.4145813421,-0.999130752,-957.4164349639,676.6424791487,-296.2380869047,0.3330436377,862.4787128891,-884.4420446029,-1.9982604159,957.4161453354,-0.6660872351,677.3489713749,910.4337809408,-957.416608741,415.6647007196,-366.6182528868
1967,801.5833333333,-647.6602297066,-248.376925742,-783.9684268015,470.8720825332,-341.5541147667,84.0232571797,688.0143476969,-714.1355101689,-472.3050572819,762.1317097698,-167.1207529189,648.7027995689,725.1735150732,-797.1674432205,411.3053581476,-364.0691052445
1968,797.1666666667,-245.2384114768,-469.030280168,-728.0911793464,361.6485790358,-427.3384428903,165.9287135723,644.8243022002,-679.6208085025,-758.506965018,644.581484942,-324.5888614886,710.4118521857,672.9461714525,-779.7065835664,468.6963982542,-416.6416338952
1969,805.6666666667,249.8315626607,-652.0658479382,-651.6193606825,248.7479242348,-513.6917355624,249.109192445,606.6388827542,-651.7310368305,-765.9523275481,473.1901390883,-473.8047979511,766.3049314514,620.6605985502,-766.1875671252,530.1773700457,-473.6511727101
1970,1127.6666666667,912.8400839856,-1072.6162980812,-754.3291448424,176.1795471125,-822.1591314427,458.8029417828,779.1936419293,-857.4100284398,-662.0839011639,348.03216547,-838.2241062821,1113.819050964,771.8072775612,-1030.1126014774,815.1621798686,-732.4480556613
1971,733.1666666667,733.1665770312,-733.1666442578,-366.4786719625,-0.0906350935,-593.186909319,366.6356602841,457.0814463777,-518.395076405,0.36254036,-0.1812701856,-635.0013733117,733.1666610645,430.8858917669,-634.9107446871,573.2450719269,-518.4591650943
1972,524.9166666667,424.612208568,-499.2111437518,-162.178889965,-82.1378639953,-459.9968802955,308.5507289088,289.1639952932,-340.8973255754,308.6129927263,-162.2520905828,-499.234929261,518.4504588124,252.8643451791,-424.6574556443,438.0886791171,-399.1572626923
1973,1028.3333333333,317.9119122429,-831.9822296382,-107.5387070347,-317.7376157826,-956.1093580494,688.0711472577,487.3133852736,-604.4539944782,977.9578009804,-604.3798590379,-1022.6949060857,978.0144436363,378.582012112,-764.2169461324,905.5358131944,-831.9283701159
1974,732.75,-226.1108395754,-430.836305806,76.4812222576,-332.5862740859,-709.7125030395,544.5016887528,288.0334750613,-382.8968334706,696.9909975936,-592.7078876643,-728.7476827695,652.9233743631,182.2929662094,-490.347298805,673.7650033536,-624.7500119393
1975,1047.8333333333,-847.234537006,-324.1867559126,323.5393141734,-615.735740953,-1039.5503641965,847.6349368918,323.9092976217,-475.7973626183,616.5617031154,-996.4224213331,-996.6328344123,847.8350026729,131.4904359385,-616.0111266892,996.5126498739,-933.5799720269
1976,815.0833333333,-815.0828418492,-0.4475491816,407.2832467143,-576.1926979748,-815.0833136739,705.8082695111,181.4977675563,-312.0222551118,0.8950982282,-815.0832104623,-706.0320086395,576.5091630479,0.1790196802,-407.6708561665,794.619028623,-752.9959844466
1977,913.8333333333,-740.0669168851,281.7743277556,611.1530859518,-739.1164097393,-906.6599001028,834.7405054337,122.8501030621,-282.5439334667,-536.0898428839,-869.3069592088,-679.3991953503,537.3995663984,-114.2767984182,-371.8866086583,905.538079425,-869.057125149
1978,980.8333333333,-304.7123819843,575.8306897205,793.1772381437,-873.7356472675,-950.1032459153,932.7402377378,44.2478136146,-229.1778571505,-932.3005910344,-794.0107332736,-576.9782462697,445.6680900309,-243.5936162522,-303.3639343801,979.8347609511,-953.6831431716
