Year,annual_Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1935,1989.0833333333,-1623.0717064185,-603.3355728375,-1947.2505404054,-1173.9607690647,-842.6024350961,203.9717029389,-1372.1224530313,900.3740076242,1149.8220483049,-1895.3729694952,405.7928533564,1605.698794806,-1801.7973369151,1978.5974960422,-1440.045999554,1773.6344474945
1936,2240.5833333333,-2240.4314673431,13.0435502576,-2240.566459165,-1588.9365681055,-687.4143651955,-4.3478719156,-1394.0652372455,854.4205291863,-26.0866584678,-2240.5453665141,-8.6957274589,1579.7133461955,-2132.527881209,2240.5791147872,-1754.079755289,2071.2747845025
1937,2436.5833333333,-1954.8924190655,766.0548457921,-2381.4088518346,-1975.2841327204,-451.1481395983,-259.2655222403,-1339.0148605006,749.6645729569,-1454.4187739981,-2313.0279534662,-515.5872580675,1426.6011829873,-2394.452692457,2422.7504471685,-2035.676188306,2318.3919790085
1938,2585.5833333333,-771.877198477,1531.255751638,-2358.1738641511,-2306.9926879075,-156.6695770284,-542.2112749472,-1221.645539496,600.1330392653,-2467.6804420513,-2083.3859452071,-1060.3099547047,1167.4870070166,-2580.8323884446,2528.0917916348,-2278.7767221561,2514.9714727593
1939,1952.3333333333,623.1136168108,1585.5804818737,-1575.3726865882,-1858.3846576919,126.7526066559,-606.6105983229,-764.5740614629,302.8358722784,-1850.2256254277,-1139.0961241025,-1153.1722953645,598.3409634145,-1948.2143673503,1855.70176118,-1796.3941519006,1928.7031598734
1940,2283.0833333333,1860.8684029531,2174.969786371,-1521.8076291833,-2255.8930356636,432.4569996023,-932.2166787331,-702.2944191891,176.1784825653,-1322.7389363873,-694.2448669726,-1701.9315634607,351.306303087,-2241.7516478056,2084.0925053452,-2172.3839567904,2276.275609241
1941,1095,1094.944697116,1094.9861741917,-544.3200071467,-1094.9965435425,340.4662364876,-549.0876943505,-242.1274188337,-1.3756491182,11.0050105678,5.5025747611,-950.1266914574,-2.7512960652,-1040.7246234293,947.3793875279,-1067.8948042991,1094.9991358853
1942,2245.1666666667,1803.449255517,2131.8791610482,-686.8642552254,-2216.6638661351,959.8976966835,-1322.6202460938,-298.2826294627,-178.8764065776,1337.2898503639,704.1765430627,-2137.5197907867,-356.6155712841,-2029.6230618056,1814.2351131356,-2225.264216688,2238.0296227443
1943,2131.9166666667,639.683326388,1718.8397567148,-216.1920430421,-2026.0172504548,1145.7249218836,-1429.0145649799,-92.7839566607,-335.9826858727,2033.6848122441,1261.2131320074,-2120.9266074376,-663.5682138792,-1797.8829430711,1582.0828191617,-2129.8966667418,2105.2753521583
1944,1988.4166666667,-631.6280664513,1161.4346873182,213.8402455856,-1769.6351219653,1270.2492223432,-1479.6966494191,91.7907678321,-466.3844282582,1885.4301434816,1613.9610612936,-1976.88471835,-906.7482425595,-1529.7933695158,1328.2690487909,-1986.2968799298,1932.9475950879
1945,2115.5,-1722.3223561424,644.8904192112,659.6084903619,-1708.7430953542,1544.6726461283,-1713.2924460466,286.5985643352,-655.9322494657,1228.3916116338,2014.8093203104,-2010.0390268456,-1247.211804017,-1445.450333392,1240.9549727205,-2095.99654411,2011.2416896313
1946,2235.5,-2235.4200438003,-9.4536258763,1123.2036204477,-1577.391306771,1810.7775897866,-1937.5734751889,500.0785073184,-857.6718439221,-18.90708269,2235.4800108607,-1932.840882487,-1584.0760446782,-1310.9327863497,1115.0198555383,-2178.8487181349,2064.4271016782
1947,2159.0833333333,-1736.3480620675,-675.5444761828,1449.056576769,-1265.5204504128,1893.7098367676,-1973.6102381469,669.58058555,-982.1600500425,-1283.2522151285,2050.6780588324,-1600.5861044006,-1749.3138168621,-1037.0650386583,875.501837896,-2052.6331088951,1922.7590791304
1948,2491.1666666667,-751.2603837923,-1472.1407091411,2019.2065209076,-1126.6240495072,2317.6597633346,-2370.2416901144,981.6495086405,-1303.7068464793,-2375.1882445094,2009.6549687946,-1459.0121271037,-2221.8527431365,-913.4355929846,766.7239995951,-2289.6016254574,2122.7952844197
1949,2533.9166666667,801.0805510912,-2055.5540656188,2317.4181545677,-778.5020769097,2455.2517635753,-2479.2012987156,1203.1344388226,-1491.3206036757,-2403.9558282703,1481.698740274,-1024.8447543366,-2411.3623099523,-626.4762174829,523.7314140455,-2230.0675316525,2048.5840306572
1950,1945.6666666667,1582.2521590098,-1852.58657852,1904.1123818868,-300.9176173286,1930.6728667546,-1935.2502123501,1073.5277273402,-1264.9374293476,-1132.2971708375,594.5937662518,-399.9685174153,-1922.2558012292,-241.0830963707,201.060670885,-1622.7005257933,1478.3612811534
1951,2410.6666666667,2410.6098600147,-2410.6524649619,2410.6603547944,4.1373648905,2410.6643943921,-2410.6650886981,1504.8737727753,-1706.060899471,16.5493376922,-8.274717594,5.5164844143,-2410.6631162379,3.3098924974,-2.7582440126,-1883.2601269583,1703.1353396234
1952,1650.4166666667,1328.8357994085,-1567.9617221441,1613.5984609763,260.8495875875,1637.1304006057,-1641.1863037014,1141.6564554449,-1255.8633843812,978.8108049167,-515.1419333563,346.6629203507,-1629.6725641265,208.9957536023,-174.3063112858,-1191.845506495,1070.8325421754
1953,2531.25,767.1910517091,-2043.1812097974,2310.2695946992,785.9466028937,2450.9401194208,-2475.3885022439,1907.6931395719,-2048.9819302613,2412.1866537807,-1494.2011599617,1034.3505026384,-2406.1409975103,632.549676716,-528.8462209932,-1663.7107464131,1486.2367281031
1954,2859.5,-899.6897516727,-1673.9291211237,2310.0687643428,1301.9485258924,2657.449873499,-2718.6744823202,2314.8022044254,-2439.2275477894,2714.2768098953,-2318.340257049,1685.3256522131,-2545.9124662735,1055.7937392504,-886.3121962271,-1678.8183357312,1492.2832238236
1955,2937.3333333333,-2385.9683339724,-899.8729886646,1961.3881091814,1729.8410600024,2572.4208865739,-2682.2730830224,2522.7527549685,-2618.114485467,1713.2081661001,-2796.0965139606,2186.5232210687,-2373.9370291229,1417.9484805272,-1197.2210402446,-1504.5416738694,1331.692025995
1956,2629.5833333333,-2629.5467839308,6.9321605482,1310.7873488061,1861.845482416,2125.7465717452,-2276.1297275099,2370.0314054024,-2430.0808995533,-13.8642729201,-2629.5741959668,2279.5931727294,-1856.9437004259,1547.8727401366,-1316.7923034746,-1139.1486489263,1004.6966350947
1957,2187.25,-1763.1318149479,681.0479058977,672.4614585582,1771.1132931965,1592.9523725107,-1768.4603314368,2048.3231086767,-2080.6165087594,-1294.3835465651,-2078.5178162269,2081.3116415506,-1283.4407914519,1498.8546632054,-1287.0938655103,-767.0951733396,674.6091505294
1958,3000.9166666667,-914.0947530401,1769.5166940393,309.0694345116,2675.4133306244,1910.7118227603,-2228.5637143081,2893.3002489926,-2918.4065253466,-2858.3092244792,-2423.6978998618,2984.9584460975,-1359.2881779061,2314.0184032635,-2009.7274968382,-796.4386413638,698.8592083478
1959,2442,764.6382455649,1978.7130408007,-258.752911558,2323.2930557331,1306.7084057395,-1632.7108424298,2403.0244989556,-2412.1407133603,-2319.2008005818,-1431.1040151454,2428.252649697,-752.112609376,2062.9777367606,-1815.9348295058,-434.5540903264,380.711411636
1960,2115.75,1716.6363523803,2013.5008598271,-656.4839303461,2090.0314000846,899.3113798819,-1242.4657312921,2107.3405972677,-2109.3105505389,-1236.7528840421,-649.7786930761,2011.3246659099,-328.8872286369,1915.1075960674,-1712.5060493513,-188.4507086949,164.9456391831
1961,2679.5,2679.4818586331,2679.4954646544,-1342.5953296472,2679.4988661634,826.135327992,-1338.3265790177,2679.4996297676,-2679.4997165408,9.8599825584,4.9299996237,2318.8699900619,2.4650008549,2548.9646270287,-2321.3363000425,1.4085720509,-1.2325005579
1962,2295.9166666667,1852.8890736181,2182.3510540106,-1538.1788068545,2267.3475139134,428.6956890411,-932.6582925453,2286.5748943263,-2288.7632344344,1355.7416498525,713.1460000146,1704.476253405,361.0659100894,2255.5383717586,-2097.9470559631,206.902375324,-181.0972031243
1963,2667.6666666667,816.6308120956,2155.7996475606,-2159.7769079352,2536.473960467,165.8839498138,-823.0676095283,2624.5888685935,-2634.6643505056,2539.5983070519,1571.296701461,1565.8253901359,826.2840264205,2662.5040769244,-2537.5194885143,477.4711669824,-418.3171101203
1964,2319.75,-722.8496731757,1360.9572978515,-2120.0529874382,2066.1946609881,-146.9196848827,-481.2728669322,2235.912503855,-2255.4705858564,2204.2523477338,1878.5726751778,941.6025663487,1054.5518884363,2315.0927991539,-2269.2766446722,618.0091727515,-542.3029585356
1965,1808.8333333333,-1465.9303913686,556.8905958641,-1769.606989094,1462.7372116338,-339.7964045444,-188.3532837581,1693.2743144009,-1720.1345665511,1059.682082249,1720.9738208398,374.6586872441,1064.0854653079,1776.6306400702,-1799.0000189759,636.1604545771,-559.4775247798
1966,1807.1666666667,-1807.1627305235,-1.8859038635,-1807.1662293173,1277.1928629836,-559.1626035873,0.6286347226,1627.9670439301,-1669.4238122777,-3.7718056731,1807.1656826306,-1.2572693691,1278.5263985757,1718.484374052,-1807.1665573294,784.5856645318,-692.008306389
1967,2114.0833333333,-1708.1289497274,-655.0654152353,-2067.6260546342,1241.8706582583,-900.8094747393,221.6016229744,1814.5582687102,-1883.4498136474,-1245.649963425,2010.0342390219,-440.7616572201,1710.8786071592,1912.5612749655,-2102.4369338871,1084.7703119708,-960.1901581193
