Year,annual_Mean_northkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1951,710.1666666667,710.1499317978,-710.1624829371,710.1648072303,1.218840694,710.1659972694,-710.1662018075,443.3259918277,-502.5944062947,4.8753268741,-2.4376777979,1.6251203048,-710.1656207335,0.9750727276,-0.8125606843,-554.796142213,501.7325554574
1952,647.6666666667,521.4699234033,-615.309189826,633.2182397732,102.3642006933,642.4527883619,-644.0444308189,448.0158531541,-492.8336391523,384.1109606571,-202.1551681921,136.0395969182,-639.5261382677,82.0153999998,-68.4023555321,-467.7113494814,420.2226971869
1953,912.75,276.6434103496,-736.7560095773,833.0661027404,283.4065231768,883.7908519511,-892.606757698,687.9000150693,-738.8477064083,869.816639304,-538.7978701254,372.9791293958,-867.6366204356,228.0927278706,-190.6980299107,-599.9217713732,535.925954993
1954,630.3333333333,-198.3229376246,-368.992244337,509.2195644194,286.994773266,585.7944525018,-599.2904873891,510.262979375,-537.6906560435,598.3210873127,-511.0428893256,371.504436479,-561.2077255607,232.7336901466,-195.3740587591,-370.06999742,328.9511658507
1955,848.0833333333,-688.8901422729,-259.8163698831,566.3029615053,499.4494004665,742.7237676652,-774.4409091556,728.3833064944,-755.9166794881,494.6470581707,-807.3046477127,631.305232093,-685.416396544,409.3980278689,-345.6683649163,-434.3996996984,384.493581155
1956,1030.0833333333,-1030.0690158824,2.7155264312,513.4730603261,729.338361849,832.715999789,-891.625402052,928.409386854,-951.9324987919,-5.4310339904,-1030.0797539644,892.9821330409,-727.4181930269,606.346219009,-515.8253735778,-446.2372508122,393.5685345082
1957,805.6666666667,-649.44406549,250.8618567539,247.6990658491,652.3840179306,586.7590024549,-651.4068078002,754.4933826604,-766.3885551372,-476.7821133155,-765.6155083355,766.6446051172,-472.7513838442,552.0984068225,-474.0969821981,-282.5570974149,248.4901614401
1958,761.1666666667,-231.8553073857,448.8285658092,78.3938300749,678.6044642449,484.6419646523,-565.2634185802,733.870330574,-740.2384050017,-724.9950419703,-614.7581743728,757.118948284,-344.7762688344,586.9385492047,-509.7567675466,-202.0124559223,177.2619479895
1959,801.1666666667,250.8610460299,649.172371494,-84.891157921,762.2215205371,428.7023823635,-535.6566352416,788.3796591919,-791.3704892932,-760.8789413321,-469.5138548187,796.6564624006,-246.7516593824,676.8177709943,-595.7684087793,-142.5676707753,124.9030682319
1960,680.1666666667,551.8604871452,647.2958374851,-211.0450131744,671.8987076093,289.1086487296,-399.4251565169,677.463230332,-678.0965265863,-397.5886029207,-208.8894282125,646.5962394406,-105.7299444694,615.6645869905,-550.532686392,-60.5827202477,53.0263620864
1961,795.9166666667,795.9112779687,795.9153194911,-398.8035079138,795.9163298727,245.3946170819,-397.5355214343,795.9165566932,-795.9165824682,2.9288018105,1.4644033839,688.7953994863,0.7322020018,757.1425375615,-689.5279903498,0.4184011836,-0.3661010396
1962,818.0833333333,660.2232962763,777.6175201343,-548.0854178393,807.9035441213,152.7532786221,-332.3257398249,814.7546636274,-815.5344151734,483.0792267649,254.1088992103,607.3406910702,128.6553678395,803.6956987243,-747.5426027509,73.7236622466,-64.5287373624
1963,748.6666666667,229.1831568121,605.0138708511,-606.1300681273,711.8481213556,46.5544609874,-230.9896102712,736.577108442,-739.4047396271,712.7249528475,440.9761828666,439.4406880227,231.8922808123,747.2178129167,-712.1415433217,133.9997802127,-117.3985042272
1964,918.5833333333,-286.2367333914,538.9169915658,-839.5065589155,818.1795361594,-58.1778096225,-190.5762406938,885.3850461613,-893.1297290618,872.8481384154,743.8842762684,372.8593271136,417.585424659,916.739157419,-898.5967041787,244.7215975586,-214.7431659999
1965,613.1666666667,-496.9278457427,188.7773428715,-599.869539563,495.8454069475,-115.1857525402,-63.8488649172,573.9939374073,-583.0991495754,359.2159200769,583.3836438653,127.0035299338,360.708599177,602.2504491679,-609.8333244092,215.6486052142,-189.6542719677
1966,749.4166666667,-749.4150343816,-0.7820683134,-749.4164853016,529.6410318552,-231.8799822033,0.2606894799,675.1041052321,-692.2958749338,-1.5641357751,749.4162585953,-0.5213789282,530.1940377382,712.6408731831,-749.4166213254,325.3610108427,-286.9699667692
1967,710.5,-574.0670671046,-220.1540356457,-694.8866625335,417.3672289925,-302.7435681985,74.4757553502,609.8357759085,-632.9888096164,-418.6373758588,675.5312358351,-148.1309428617,574.9911705089,642.7725740217,-706.5858842809,364.5690283363,-322.7001966228
1968,660.75,-203.2715204473,-388.766578659,-603.4951872295,299.7607759957,-354.2093365751,137.5338459037,534.4775132914,-563.319401068,-628.7060135509,534.2762485997,-269.0429733162,588.8412686577,557.786974017,-646.2778069305,388.4898329247,-345.3430394266
1969,765.75,237.4536852802,-619.7593169947,-619.3349509011,236.4237356013,-488.2409348451,236.7671048177,576.5830258201,-619.4410940665,-728.0033034587,449.7459855277,-450.3301911846,728.3384376403,589.9100372443,-728.2268881168,503.9097903754,-450.1841772893
1970,760.1666666667,615.3508162959,-723.0568926321,-508.4976691733,118.7636586433,-554.2222581304,309.2817347726,525.2589714513,-577.9850930704,-446.3146132439,234.610509416,-565.0517512197,750.8319082836,520.2797802183,-694.4049032425,549.5055723294,-493.7474995376
1971,593.0833333333,593.0832608241,-593.083315206,-296.4570025412,-0.073317795,-479.8489694957,296.5839957083,369.7486535428,-419.3473242525,0.2932711687,-0.1466355888,-513.6741047805,593.0833288015,348.5581827352,-513.6007922185,463.7173422259,-419.3991677626
