Year,annual_mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1941,519.4166666667,519.3904335711,519.4101083514,-258.199893801,-519.4150270853,161.5012216155,-260.4614611025,-114.8538966203,-0.6525434516,5.2202611011,2.6101635073,-450.6955607195,-1.3050858733,-493.670972438,449.3923685283,-506.5592325112,519.4162567712
1942,649.75,521.9172238611,616.964658106,-198.7781381483,-641.5013051835,277.7938661213,-382.765572667,-86.3228291114,-51.7667338017,387.0109480843,203.7883047383,-618.5970532538,-103.2043504306,-587.3717991574,525.0386451309,-643.9902419091,647.6845434094
1943,702.6666666667,210.8357037136,566.5190489239,-71.2555723305,-667.7628681482,377.6239120245,-470.994442087,-30.581023436,-110.7378340022,670.2900495189,415.688118246,-699.0444105036,-218.7080162385,-592.5711986857,521.4448004992,-702.0008870722,693.8858526912
1944,843.75,-268.0203752072,492.8345923933,90.739385883,-750.9138598507,539.0081461894,-627.8835160039,38.9498145216,-197.9021137469,800.0494615796,684.8562820333,-838.8566184692,-384.7628329037,-649.14118714,563.6278495875,-842.8505053974,820.2126650293
1945,812.9166666667,-661.8315049307,247.8100543373,253.4657221886,-656.6134442284,593.5665982424,-658.3616092013,110.1303472422,-252.0530644268,472.0302596505,774.2245694331,-772.3915034617,-479.2622369884,-555.4387458536,476.8579437048,-805.4221337664,772.8536469847
1946,722.0833333333,-722.0575068787,-3.0535923439,362.8032271371,-509.5092698565,584.8947966711,-625.8508224301,161.5291234591,-277.0344638628,-6.1071300794,722.0768766908,-624.322159351,-511.6684905366,-423.4411613256,360.1598094475,-703.7845427063,666.825498995
1947,871.75,-701.0666979539,-272.7573725481,585.0700856683,-510.9656656671,764.6029797532,-796.8635107976,270.3493961727,-396.5562655253,-518.1250307792,827.9803610115,-646.2515434071,-706.301742182,-418.7246659232,353.49201923,-828.7697306786,776.3318818473
1948,718.1666666667,-216.5773060655,-424.3964886391,582.1075064288,-324.7891235249,668.1471813882,-683.3057765908,282.9950981958,-375.8394862835,-684.7317953831,579.3539346047,-420.6117117609,-640.5274282582,-263.3300307868,221.0352387941,-660.0584334044,611.9706215672
1949,808.25,255.5227501902,-655.6654350129,739.1929056188,-248.3208354638,783.1580509395,-790.7972965515,383.7669261071,-475.6904178331,-766.7960528297,472.6213069989,-326.8974010034,-769.1585175857,-199.8287510562,167.0559734544,-711.3304498799,653.4421848043
1950,711.4166666667,578.5372058192,-677.3827146148,696.2226916296,-110.0279980784,705.9343097261,-707.6079776783,392.5263923378,-462.5137414057,-414.014945496,217.4082140865,-146.2451273417,-702.8566804477,-88.1500082969,73.5161447381,-593.3268112343,540.5503793561
1951,704.0833333333,704.0667418163,-704.0791854418,704.081489825,1.2084000263,704.0826696701,-704.0828724561,439.528432874,-498.2891502914,4.8335645105,-2.4167964931,1.6111994198,-704.0822963597,0.9667201919,-0.8056002372,-550.0437227831,497.4346821238
1952,612.5,493.1554216436,-581.8994525503,598.8360862497,96.8060827452,607.5692221384,-609.0744424239,423.6897221671,-466.0740154103,363.2547041726,-191.178652369,128.6529898802,-604.8014817637,77.5621706123,-64.6882801288,-442.3158027134,397.4056644781
1953,930.1666666667,281.9221899317,-750.8144416053,848.9622787172,288.8143533004,900.6549337605,-909.6390604789,701.0261999639,-752.9460512124,886.4140717531,-549.0789579421,380.0961419078,-884.1924547888,232.4450861401,-194.3368401227,-611.369196756,546.1522422745
1954,810.75,-255.0877657523,-474.6067616545,654.9705370488,369.1396283851,753.4630127432,-770.8219396892,656.3126026361,-691.5907446652,769.575073832,-657.315741704,477.8380040328,-721.8389690614,299.3477090741,-251.2948463337,-475.9929937731,423.104956711
1955,980.75,-796.6540320733,-300.4597481728,654.8903953971,577.5788536986,858.9089143806,-895.5876053703,842.3251581146,-874.1656088136,572.0252753868,-933.5922569452,730.0610471164,-792.6368842416,473.4406396767,-399.7416710917,-502.3533522404,444.6403612669
1956,950.25,-950.2367921776,2.5050681899,473.6779635061,672.813311234,768.1789940615,-822.5228104198,856.455969444,-878.1559973889,-5.0101189703,-950.2466980387,823.7743922875,-671.0419589909,559.3532833395,-475.847968199,-411.6530516149,363.0662566942
1957,744.8333333333,-600.4066050217,231.9200740242,228.996095424,603.124570983,542.4546921743,-602.2211468885,697.5239816113,-708.520987362,-440.7818089381,-707.8063108711,708.7577038205,-437.0554270582,510.4112081278,-438.2994235505,-261.2221076431,229.7274578973
1958,749.75,-228.3777316126,442.0966287043,77.2180084502,668.4261402246,477.3728657736,-556.7850861578,722.8630790643,-729.1356393475,-714.120910073,-605.5374748009,745.7629929616,-339.6050022666,578.1351135531,-502.1109741205,-198.9824902488,174.6032128379
1959,947.6666666667,296.7330783703,767.878948266,-100.4142134261,901.6000760919,507.0941847553,-633.6059138722,932.5414483389,-936.0791766426,-900.0119950934,-555.3683749739,942.3317339733,-291.8722561365,800.5795393954,-704.7096260286,-168.6373571933,147.7426349005
1960,664.75,539.3520100413,632.6242214676,-206.2614641132,656.6694426119,282.555708272,-390.371780634,662.107839789,-662.726781742,-388.5768543859,-204.1547376686,631.9404805216,-103.3334681491,601.7099253153,-538.0543052375,-59.2095515089,51.8244658617
1961,899.9166666667,899.910573844,899.9151434597,-450.913944295,899.9162858649,277.4595822288,-449.4802738948,899.9165423232,-899.9165714662,3.3114993981,1.6557525016,778.7981906661,0.8278766011,856.0760405326,-779.6265069403,0.4730723884,-0.4139383444
1962,931.6666666667,751.889217925,885.5825481412,-624.1820282615,920.0735075152,173.9616639497,-378.4661068802,927.8758418413,-928.763854705,550.1503264982,289.3895786056,691.6643502257,146.5179802838,915.2814415543,-851.3320055776,83.9595134885,-73.4879580026
1963,833.25,255.0759555837,673.3675083081,-674.6098120219,792.2717459299,51.8141201483,-257.0864996774,819.7945800658,-822.9416731446,793.2476406414,490.7970672844,489.0880943387,258.0911526983,831.6374567402,-792.5983183073,149.1388916237,-130.6620262431
1964,737,-229.6541477015,432.3851831088,-673.5549312391,656.4437827991,-46.6773608184,-152.9035900114,710.3642700037,-716.5780027055,700.3056278822,596.8350303292,299.1533964431,335.0381471182,735.5203763235,-720.9642793937,196.3456235878,-172.2932559288
1965,690.75,-559.803603338,212.663141487,-675.7704013913,558.5842047007,-129.7600846434,-71.9275946315,646.6207865138,-656.8780715997,404.6671325791,657.1985626528,143.0731529792,406.3486787956,678.452564984,-686.994893453,242.9343963876,-213.6510274993
1966,737.3333333333,-737.3317273666,-0.7694585163,-737.3331548925,521.1012843161,-228.1412301273,0.2564862135,664.2189617584,-681.1335373528,-1.5389161946,737.3329318415,-0.5129723959,521.6453737248,701.1504999359,-737.3332887231,320.1150032176,-282.3429629682
1967,795,-642.3410532697,-246.3370279217,-777.5297631444,467.004851582,-338.7489608977,83.3331815671,682.3637464423,-708.270378107,-468.4260574353,755.872389147,-165.748204891,643.3750605975,719.217728849,-790.6203772038,407.9273434586,-361.0790377413
