Year,annual_Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1926,560,-559.9384345894,-4.1519049816,277.599463984,394.5091464151,-559.9975373403,484.2807552603,-559.9987435405,516.9744297315,-8.3035817335,559.9846084358,486.3522772598,397.4450067555,-1.6607747736,281.1977063997,-1.1862685472,215.2613272369
1927,596.5833333333,-477.5073662398,-188.4658289565,181.6080242304,348.9098029239,-591.6596185437,481.7966345184,-594.069538217,531.0675318978,-357.6288422342,566.0320705815,568.2694775775,483.9148923465,-76.4890148699,351.8290445342,-54.7088418238,271.8068251075
1928,603.4166666667,-178.3033473212,-358.1343756993,60.23473497,272.0362314177,-584.0309491563,447.4697289227,-593.4998596164,513.9371895406,-576.4716731507,485.6453876581,600.4027400955,538.6167119643,-151.721864076,404.8240547559,-108.9476491095,316.1965193013
1929,527.5,169.950282163,-428.8968546405,-57.5640998779,161.2655561134,-489.9164302516,352.0590769419,-508.2112923089,426.2181547341,-499.3727581604,307.0891370262,524.3497157482,502.2446320384,-195.5457526247,392.8239508263,-141.3418988471,310.7962911218
1930,657.5833333333,537.1860204912,-626.7616828797,-206.0279449763,100.6672827787,-575.3837729159,385.3149993579,-615.2038903184,499.3060021895,-379.2716963689,198.9613860817,624.4744399626,649.8322387014,-318.3541332272,532.8678931476,-232.2498947574,427.9127907124
1931,766.1666666667,766.0995575244,-766.1498891974,-386.0069816658,-2.5351861579,-618.6475653176,381.6187093541,-689.6625218147,540.8645791615,10.1404670559,-5.070344558,661.8232174958,766.1624722879,-451.9806976385,664.3632453576,-333.7318790816,542.6572289388
1932,776.5,622.2538523708,-736.9302430916,-522.0597205418,-123.947400617,-564.6690238616,314.3030997296,-665.8494281882,503.3423752382,464.4915426675,-244.7162986338,574.8094451102,766.543731225,-533.0113915211,710.0463446145,-399.4956682888,591.2687234156
1933,836.6666666667,248.4989993612,-673.7662579028,-678.9368336665,-261.0491735278,-531.6853370314,256.8728222391,-675.9913461808,490.7137501943,798.9113583043,-496.0344149581,488.9334177596,794.899012524,-646.004499595,796.2584155323,-492.9977799138,677.651183487
1934,662.6666666667,-212.4989708756,-386.2066327829,-606.4743388858,-302.6556204008,-353.6993213547,136.4492259832,-498.2697248549,345.374666118,627.6713299873,-538.4900629591,267.0505333906,589.5139409301,-560.3783553853,648.4664369416,-436.8688503478,565.5470370491
1935,539.75,-440.4304932118,-163.7188196099,-528.3984142698,-318.5614772815,-228.6453547328,55.348976494,-372.3338693822,244.3220263682,312.0112868939,-514.3211162353,110.1143873304,435.7162467618,-488.9287926264,536.9046035387,-390.7653416193,481.2866193147
1936,482.8333333333,-482.8006070512,2.8108130395,-482.8296970432,-342.4070545469,-148.1339990309,-0.936942384,-300.4133590434,184.1229049766,-5.6215308202,-482.8251516935,-1.8738812399,340.4195011662,-459.5479802032,482.8324242599,-377.9944992801,446.3482761709
1937,590.75,-473.9639645253,185.7301139512,-577.3729385634,-478.9079386044,-109.3809351076,-62.8589653258,-324.6443567184,181.7562898079,-352.6240531096,-560.7939793468,-125.0042091877,345.8796739354,-580.5354197075,587.3962146441,-493.5500016725,562.0944881559
1938,828.9166666667,-247.4574561914,490.9079498999,-756.0110686406,-739.6028061565,-50.2269727238,-173.8284575338,-391.6494724391,192.3976968954,-791.1179732841,-667.9163308401,-339.9266161552,374.2866941307,-827.3935529655,810.4853531244,-730.557000525,806.2790872317
1939,464.8333333333,148.357851911,377.5127167445,-375.0823307917,-442.4649829522,30.1786767939,-144.4286288819,-182.038335105,72.1025480438,-440.5223893903,-271.2087322965,-274.560144423,142.4597018066,-463.8526438911,441.8262089748,-427.7055907163,459.2071976171
1940,578.5,471.516897956,551.1056048833,-385.6038457419,-571.6103753541,109.578292924,-236.2101027034,-177.9511573534,44.6410565379,-335.1627439647,-175.9115182875,-431.2446221683,89.015890646,-568.0271540339,528.0786280289,-550.4503934022,576.775022059
1941,484.25,484.225542994,484.2438857099,-240.718688092,-484.2484714251,150.5669178257,-242.8271378897,-107.0778105664,-0.6083635484,4.8668277328,2.4334445918,-420.1815984824,-1.2167261366,-460.2473962517,418.9666378177,-472.2630675633,484.2496178561
