Year,Annual_Mean_eastup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1920,688.5,563.7041775601,656.5601938323,674.2428750781,680.4682003788,-503.4699902467,684.9264447703,-591.8847689563,686.4891135192,-395.3098154629,-207.2702628815,-139.3872139273,-104.8583724518,469.6277450502,-70.0572284234,351.7167472236,-52.5827635219
1921,890.5833333333,890.4632631568,890.5533152833,890.5699919361,890.5758287892,-722.2123510188,890.5799979778,-803.292111952,890.5814571953,14.6236308507,7.3120618861,4.8747383517,3.656061751,521.1026709268,2.4373783042,384.5262754178,1.8280347265
1922,1216.6666666667,972.6613853015,1154.0542585225,1188.704686485,1200.9115549546,-1068.0552374625,1209.6559730631,-1140.0661605999,1212.72149241,730.8950727165,385.2746373223,259.3432977861,195.1645842728,582.6969945922,130.4231751283,424.8846046079,97.8997427211
1923,921.9166666667,271.0137102523,741.5464910087,840.2282599087,875.6638651466,-858.2435183952,901.263218181,-889.2442010761,910.2800261332,881.1821089498,547.7582878885,379.4032307831,288.3455141915,336.6725462679,194.0488387799,243.2593084148,146.0158015446
1924,933.75,-302.2436241525,542.9866842049,752.580221382,830.3321259822,-905.12845762,887.3023284697,-919.1103696732,907.5273233176,883.4805341145,759.6410489673,552.7314654375,427.1271743425,229.4156439882,290.8326673403,164.6972703455,219.7344304656
1925,930.1666666667,-760.7153899105,280.7293440867,618.9049768082,750.4449033748,-923.1809571562,848.7917315334,-926.6003402509,884.0952612889,535.2776133289,886.7925705296,694.3822128049,549.5839105875,113.7846567949,380.4768380051,81.3746718878,289.1117374724
1926,869.4166666667,-869.3210845344,-6.4459560525,430.981429724,612.4871911531,-869.4128433142,751.8602856594,-869.4147159759,802.6181883019,-12.8915577717,869.3927708052,755.076385216,617.0452017083,-2.5784022639,436.567808165,-1.8417172251,334.1996171224
1927,889.4166666667,-711.8921804551,-280.9744087795,270.7504459577,520.1724160647,-882.076143137,718.2868389741,-885.6689735146,791.7423897117,-533.1712017273,843.8692958957,847.2049356314,721.4448450921,-114.0336996378,524.524569397,-81.5627138966,405.2233893523
1928,647.6666666667,-191.3787619638,-384.3972335223,64.6518934107,291.9853045958,-626.8593477204,480.2837637325,-637.0226362296,551.6254436003,-618.7457317674,521.2589356275,644.4317215885,578.1147749463,-162.8479944205,434.51077939,-116.9370430713,339.3839729332
1929,854,275.1422577578,-694.3657134843,-93.1938223615,261.082056722,-793.1538036679,569.9686288311,-822.7724049892,690.0290125932,-808.4631952018,497.1642142566,848.8998241687,813.1126365134,-316.5802326853,635.9652208638,-228.8265054321,503.1659386124
