Year,annual_Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1956,889.1666666667,-889.1543078606,2.3440390762,443.2293142691,629.5639770997,718.7994270487,-769.6499506428,801.4018410916,-821.7069623906,-4.6880618621,-889.1635769598,770.8210791641,-627.9064897336,523.3973106404,-445.2598281754,-385.1914461748,339.7278750265
1957,736.9166666667,-594.0250177005,229.4550475046,226.562147218,596.7140950104,536.6890627543,-595.8202732082,690.1101554474,-700.9902764872,-436.0968378206,-700.2831961327,701.2244769395,-432.410062819,504.9861617223,-433.6408371512,-258.4456363715,227.2857362034
1958,847.5,-258.1528876848,499.7357690256,87.285444697,755.5733962525,539.6112087271,-629.3769396716,817.1076485589,-824.1980051311,-807.225703617,-684.4855083612,842.9931797732,-383.8816130989,653.5105151534,-567.5745922869,-224.9251890442,197.3674196467
1959,830.5,260.0458898205,672.9406963083,-87.9993010028,790.12894463,444.3985794294,-555.268777493,817.2448183385,-820.3451525167,-788.7372092069,-486.7042934391,825.8246623969,-255.7860450806,701.5982843488,-617.5814397644,-147.7875397281,129.4761782816
1960,679.75,551.5224201964,646.8993073224,-210.9157280646,671.4871058525,288.9315422307,-399.1804706822,677.0482197768,-677.6811280769,-397.3450421494,-208.7614636032,646.2001378482,-105.6651748391,615.2874339723,-550.1954328472,-60.545607579,52.9938784047
1961,889.4166666667,889.4106449335,889.4151612321,-445.652794468,889.416290308,274.2222540169,-444.2358517714,889.4165437741,-889.416572577,3.2728616609,1.6364336003,769.7113704028,0.8182171464,846.0875618672,-770.5300220923,0.4675526995,-0.4091086165
1962,901.0833333333,727.207344671,856.5119940117,-603.6923319849,889.8707367407,168.2511155893,-366.0423983628,897.4169479274,-898.2758104583,532.0908300916,279.8899385923,668.9594471368,141.7083113425,885.2359774173,-823.3857760563,81.2034185466,-71.075607324
1963,717.0833333333,219.5148112609,579.4906899681,-580.5597992247,681.8180191746,44.5905094386,-221.2450574782,705.5037865252,-708.212130954,682.6578605579,422.3731137096,420.9023954179,222.1096478617,715.695601085,-682.0990628097,128.3468509273,-112.445918174
1964,898.1666666667,-279.8747629949,526.9388855209,-820.8474727381,799.994469811,-56.8847348373,-186.3404447245,865.7062530643,-873.278800674,853.4479938167,727.3505152519,364.5720609299,408.3040648621,896.363479875,-878.6242654122,239.2823531241,-209.9702298056
1965,472.1666666667,-382.6574033675,145.3672770739,-461.9272643604,381.8238754777,-88.6983519833,-49.1665763279,442.0018550353,-449.0132891403,276.6128571834,449.2323628895,97.7985866546,277.7622890645,463.7606747737,-469.5998391006,166.0593907507,-146.0425529993
1966,866.3333333333,-866.331446395,-0.904078971,-866.3331236734,612.2704511471,-268.0556316007,0.3013597056,780.4272520841,-800.3011137341,-1.8081569574,866.3328615986,-0.6027193748,612.9097316053,823.8201398434,-866.3332809183,376.1206570355,-331.7402173393
1967,577.25,-466.4042427672,-178.8654709029,-564.5648500316,339.0925164474,-245.9658335575,60.5082755467,495.4647454514,-514.2755669966,-340.1244549113,548.839417151,-120.3498758155,467.1550361383,522.2244452555,-574.0699531332,296.1963006434,-262.1797163977
1968,673.6666666667,-207.2451723164,-396.3663793517,-615.2926085967,305.6206473892,-361.1335952671,140.2224253103,544.9257431514,-574.3314463657,-640.9962685768,544.7205440384,-274.302357963,600.3522280022,568.690868704,-658.9115640341,396.0842236554,-352.0939753721
1969,738.5833333333,229.0294931591,-597.7719911332,-597.3626803609,228.0360832119,-470.9195130626,228.3672706496,556.1274739191,-597.4650578639,-702.1757839324,433.7902567997,-434.353736475,702.4990284912,568.9816802803,-702.3914364326,486.0324814558,-434.212902744
1970,694.9166666667,562.5312932572,-660.9922635013,-464.8500398198,108.5694090579,-506.6497928688,282.7340918953,480.1726115909,-528.372910668,-408.004556001,214.4723786472,-516.5497208311,686.3831707057,475.6208164043,-634.799658862,502.3379705827,-451.3659722258
1971,693.25,693.2499152446,-693.2499788112,-346.5260368329,-0.0857005391,-560.8913274181,346.6744780522,432.1960164146,-490.1714754049,0.3428021431,-0.1714010768,-600.4292367106,693.2499947028,407.426657605,-600.3435422883,542.035207247,-490.2320748374
1972,705.6666666667,570.8233342044,-671.109694442,-218.023629183,-110.4212465966,-618.3923769396,414.797201524,388.7348328533,-458.2820373032,414.8809052876,-218.1220357287,-671.1416702622,696.9738823977,339.9357477341,-570.8841616758,588.9402976287,-536.6032228097
1973,742.5,229.5457972515,-600.7262290175,-77.6474780939,-229.4199478625,-690.3512463712,496.8163632144,351.8607992535,-436.4412553323,706.1267428473,-436.3877264204,-738.4288179274,706.1676412317,273.3521659577,-551.796838739,653.8350158478,-600.6873401729
1974,680.0833333333,-209.8590426219,-399.8697932085,70.9841072267,-308.681517436,-658.7016646543,505.3654363597,267.3309666753,-355.3759874847,646.8945219335,-550.1067975922,-676.3686840762,605.9942747841,169.1905944768,-455.1034124357,625.3379042839,-579.8458827973
1975,835.9166666667,-675.8875171551,-258.6223436106,258.1058422517,-491.2076680054,-829.3088677633,676.2069390776,258.4009992399,-379.5708083684,491.8665853309,-794.9032375054,-795.0710960705,676.3665430104,104.8974521154,-491.4273589804,794.9752179804,-744.7702162719
1976,478.75,-478.7497113203,-0.2628739442,239.2232136156,-338.4344187573,-478.7499884528,414.5658427913,106.6051195799,-183.2704074857,0.5257478091,-478.7499278301,-414.6972589341,338.6202987129,0.1051495821,-239.4508811652,466.7300193681,-442.2821726455
1977,879.0833333333,-711.9246677203,271.0594002822,587.9129950488,-711.0103051559,-872.182681578,802.9981389586,118.1785279229,-271.7997404833,-515.7041539834,-836.2501470631,-653.5639350493,516.9640731294,-109.9312371433,-357.7450150225,871.1035199575,-836.00981335
1978,823.0833333333,-255.7046896227,483.2183281538,665.6084605901,-733.210449283,-797.295646551,782.7251765621,37.1313215864,-192.3185807201,-782.3562393923,-666.30790251,-484.1813201704,373.9901210905,-204.4158154395,-254.5731163868,822.2453639689,-800.2997795332
1979,852.75,261.8480603116,689.3741712346,778.7882612223,-810.8780386163,-792.9957739936,834.0546301824,-38.008542373,-133.6157084141,-811.5529285333,-501.9420430036,-347.3779018336,263.9306139686,-313.5925141457,-177.582196099,851.9025256487,-842.2169583694
1980,714.4166666667,576.9774181152,679.1882866345,698.687273423,-705.5546064578,-626.2113224854,710.4734360032,-95.6585531425,-56.2636806219,-421.2935230884,-221.5726628212,-149.0881201434,112.1778539523,-343.8757816455,-74.9577904219,707.983484851,-712.1977055945
1981,770.4166666667,770.4138775595,770.4159693896,770.4163567657,-770.4164923474,-623.5237879011,770.4165891915,-171.1450981163,-0.259131717,-2.0730512738,-1.036526575,-0.6910178325,0.5182634048,-452.5040620804,-0.345508951,751.166556543,-770.4166230869
1982,526,426.4714273555,500.4997356588,514.6150815842,-519.585825902,-383.6541451256,523.1460278513,-162.327860354,41.072226477,307.893036052,161.7900324664,108.8453848636,-81.8936476275,-359.8409328133,54.7195901242,500.3255597637,-524.3940047447
1983,723.6666666667,225.9144642115,586.1655959335,661.4285009949,-688.4337104502,-461.6535137324,707.9361563721,-284.1027283725,112.9090695693,687.4998904033,424.3858369319,293.608212617,-223.0526188151,-557.2876077063,150.0661285753,665.5667390847,-714.8041595105
1984,717.25,-219.1535872878,422.6462184959,580.779439724,-639.3710044709,-384.7633158604,682.2798603367,-339.5532376373,167.1207789942,682.9489495408,579.4978313084,420.8833625766,-325.0419682778,-605.3137643141,221.2278343224,631.7841097321,-697.5085717956
1985,501.9166666667,-404.8861895872,156.0468096772,336.3404805365,-406.3513472569,-214.0657896685,458.6584966692,-276.2670664631,154.8641768892,296.626893183,477.0426956441,372.5525753908,-294.6165692223,-453.9781690472,203.844852059,419.0427761765,-477.4279285863
1986,734.0833333333,-734.0765988046,1.5722126554,367.949010311,-519.6308667624,-227.4422476644,635.9966887742,-457.3421845801,280.5583553398,3.144418099,734.0816496992,635.2100960225,-518.5191438949,-697.9601451767,366.587714123,574.2094273705,-678.3548846487
