Year,annual_Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1942,2044.9166666667,1642.5967367357,1941.7334545676,-625.6017355422,-2018.9560764267,874.2828883867,-1204.6536344331,-271.6783254541,-162.9221342516,1218.0148332745,641.3699127836,-1946.8709875331,-324.8084590506,-1848.5977400953,1652.4205864908,-2026.7893479811,2038.416187088
1943,2111,633.4072635758,1701.9758713637,-214.0709390745,-2006.1395844319,1134.4839823772,-1414.9942133475,-91.8736344498,-332.6862916205,2013.7319182179,1248.839114256,-2100.1177664702,-657.0578115932,-1780.2435489926,1566.5606838527,-2108.9998187039,2084.6200688298
1944,1851.1666666667,-588.0300854176,1081.2669269555,199.0799721486,-1647.4864674296,1182.5705638964,-1377.5609308158,85.4549313366,-434.1923510887,1755.288764398,1502.5577727495,-1840.4307084124,-844.1601550739,-1424.1997364077,1236.585585258,-1849.1931977185,1799.5263349098
1945,2083.3333333333,-1696.1340464649,635.0847112692,649.5789907448,-1682.761261477,1521.1855413695,-1687.2414382401,282.2407668943,-645.9586479414,1209.7136331381,1984.1736787111,-1979.4759186615,-1228.2476601444,-1423.4719268416,1222.0859654145,-2064.1264319999,1980.6602946814
1946,2207.4166666667,-2207.3377149119,-9.3348652739,1109.0934430045,-1557.5754240311,1788.0298060038,-1913.2328257764,493.7963013628,-846.8973933368,-18.669563609,2207.3969286398,-1908.5596859837,-1564.1761853232,-1294.4642726317,1101.012486146,-2151.4770630984,2038.4928612672
1947,2355.9166666667,-1894.6426362543,-737.1306451875,1581.1601560013,-1380.8919160763,2066.3503336778,-2153.5348736984,730.6230550806,-1071.6988990217,-1400.2402012389,2237.6286001487,-1746.5039081983,-1908.7904170948,-1131.6093136713,955.3171662032,-2239.7618828042,2098.0478569646
1948,2570.75,-775.2603057339,-1519.1700252991,2083.7125163403,-1162.6154179182,2391.7002087077,-2445.9619287595,1013.0094899328,-1345.3553390994,-2451.0665068197,2073.8558283383,-1505.6220348237,-2292.8325173285,-942.6163982064,791.2179254536,-2362.7457196673,2190.6105482392
1949,2194.8333333333,693.8816573368,-1780.4841970686,2007.3061911732,-674.3245864981,2126.695200087,-2147.4398594261,1042.1335498309,-1291.7552556849,-2082.2635776295,1283.4209695575,-887.7022113236,-2088.6789397021,-542.6425038992,453.6467913023,-1931.6446426369,1774.4468773456
1950,1957.9166666667,1592.214085829,-1864.2505423303,1916.1007543443,-302.8122074326,1942.8284651533,-1947.4346299112,1080.2867035231,-1272.9015291469,-1139.4261619337,598.337353867,-402.4867361946,-1934.3584054257,-242.6009657885,202.3265574115,-1632.9171172483,1487.6691065915
1951,2192.1666666667,2192.115008903,-2192.1537521877,2192.1609268951,3.7623589882,2192.1646003484,-2192.1652317233,1368.4737785754,-1551.4255400126,15.0493251289,-7.524706894,5.0164767354,-2192.1634380446,3.0098877225,-2.5082400095,-1712.5636372983,1548.7651494792
1952,2352.5833333333,1894.1864909416,-2235.048087748,2300.1008912811,371.8275540107,2333.644450366,-2339.4259298053,1627.3720471428,-1790.1680991903,1395.2440208838,-734.3081000041,494.150007797,-2323.0136913837,297.9126038851,-248.4646035804,-1698.9139355647,1526.4162331812
1953,2116.75,641.5611491181,-1708.6039805783,1931.9558181055,657.2454209087,2049.5911102357,-2070.0359949135,1595.3025000252,-1713.4548151627,2017.1836442036,-1249.521108286,864.9724153915,-2012.1279828069,528.96771484,-442.2460200641,-1391.2729767782,1242.8608767258
1954,1983.1666666667,-623.9673809613,-1160.9303848139,1602.1162340104,902.9483889721,1843.0375965941,-1885.4990770606,1605.3990458972,-1691.6925214867,1882.4491321877,-1607.8528133489,1168.8342912913,-1765.6823708217,732.2311420027,-614.6895624472,-1164.3212319675,1034.9523856314
1955,2177.4166666667,-1768.6951486145,-667.0671051072,1453.9579523605,1282.3143740582,1906.9106146531,-1988.3429807732,1870.0921111715,-1940.7828356437,1269.9845713808,-2072.7191844439,1620.8484238341,-1759.7764592021,1051.111434626,-887.4883272966,-1115.302127682,987.1703627787
1956,2200.3333333333,-2200.302750211,5.8005630523,1096.8160088061,1557.9200797881,1778.7422747697,-1904.577066239,1983.1503479083,-2033.3974353289,-11.6010857925,-2200.3256875394,1907.4751428536,-1553.818458756,1295.1998678678,-1101.840721944,-953.1954025115,840.6911726522
1957,1824.25,-1470.5192426191,568.0199530615,560.858528186,1477.1761001777,1328.5830908916,-1474.9634287912,1708.3796689924,-1735.3135974874,-1079.5652919517,-1733.563207796,1735.8933647725,-1070.438616439,1250.1020090764,-1073.4854196627,-639.7866590307,562.6497852798
1958,1859.4166666667,-566.3879432558,1096.4212600066,191.504437318,1657.7295172648,1183.9080531296,-1380.8542433522,1792.7357878363,-1808.2920440993,-1771.0547812003,-1501.7625514319,1849.528694226,-842.2370140684,1433.8033554197,-1245.2597716517,-493.4863070937,433.0245068414
1959,1912.3333333333,598.7891912102,1549.5327211403,-202.6297370472,1819.3737729649,1023.2850291738,-1278.5779556401,1881.8115684559,-1888.9504876532,-1816.1691227051,-1120.6993905117,1901.5677656718,-588.980349439,1615.5205126666,-1422.0608950143,-340.2998657115,298.1355949435
1960,1909.1666666667,1549.0227591884,1816.9012051928,-592.3843729264,1885.9592491212,811.50197775,-1121.1504944623,1901.5783639924,-1903.3559696265,-1115.995453677,-586.3338397879,1814.9374963959,-296.774445944,1728.1151296193,-1545.2957418819,-170.0502475954,148.8402297721
1961,1831.8333333333,1831.8209310342,1831.8302327559,-917.8618690149,1831.8325581888,564.7853075797,-914.9435485466,1831.8330802249,-1831.8331395472,6.7407519002,3.3703816548,1585.2895478491,1.6851915405,1742.5931589023,-1586.97563437,0.962966686,-0.8425958594
1962,1606.5,1296.5045029657,1527.0358106499,-1076.295271988,1586.5095776277,299.9671697337,-652.6001438673,1599.963370216,-1601.4945966907,948.6402499312,499.002888762,1192.6570074822,252.6452257524,1578.2464785584,-1467.9766013886,144.7738373016,-126.7174288349
1963,2008.9166666667,614.9731034359,1623.4493972181,-1626.444518293,1910.1205099643,124.9207915208,-619.8204068131,1976.4764418088,-1984.0638978395,1912.4733346276,1183.2828183843,1179.1625852808,622.2425660664,2005.0289198555,-1910.9078567292,359.5650825454,-315.018448509
1964,2054.3333333333,-640.1440580209,1205.241919267,-1877.484867131,1829.7887984581,-130.1097126748,-426.2075193308,1980.0881935924,-1997.4085168133,1952.0504679503,1663.6337819622,833.8681059607,933.8942110763,2050.2089910816,-2009.6349407069,547.2989951025,-480.2547880095
1965,1840.5833333333,-1491.6615016198,566.6655574887,-1800.6684588648,1488.4122727981,-345.7607660174,-191.6594019333,1722.9959357861,-1750.3276592377,1078.2824173331,1751.1816447474,381.2349776633,1082.7630918757,1807.8153942334,-1830.5774172634,647.3268202453,-569.2978941219
1966,2188.4166666667,-2188.4119001327,-2.2837647034,-2188.4161370517,1546.6366215445,-677.1266777094,0.761255024,1971.4120880129,-2021.614808366,-4.5675269197,2188.4154750329,-1.5225099558,1548.2514872727,2081.0254609877,-2188.4165342629,950.1062499432,-837.9982539002
1967,1624.3333333333,-1312.4226216282,-503.3125102987,-1588.6383797915,954.1780468592,-692.1273318467,170.2652384807,1394.1964513263,-1447.1285335494,-957.0818355899,1544.388323821,-338.654508358,1314.5352915269,1469.4960137028,-1615.3849467984,833.4716749157,-737.7518452466
1968,1902,-585.1266468269,-1119.082909738,-1737.18932442,862.8755141034,-1019.6082605612,395.8976540428,1538.5186988728,-1621.5414314511,-1809.7598755562,1537.9393489772,-774.4528721112,1695.0073295301,1605.6160795767,-1860.3411105288,1118.2862841056,-994.0862065675
1969,1764.6666666667,547.2107127538,-1428.2319400021,-1427.2539906716,544.837199379,-1125.1485511243,545.6284918511,1328.7324142742,-1427.4985970131,-1677.6796119319,1036.4371519791,-1037.7834507047,1678.4519268116,1359.4444388601,-1678.1948615476,1161.2573425824,-1037.4469624854
1970,2246.6666666667,1818.6645480528,-2136.9890183469,-1502.8609034106,351.0050687373,-1637.9995701815,914.0797598629,1552.3988018337,-1708.2304438914,-1319.0793656058,693.3895345159,-1670.006052717,2219.0778609215,1537.6828408994,-2052.3082867153,1624.0594420084,-1459.2668918584
1971,1740.5833333333,1740.5831205331,-1740.5832801332,-870.0431940533,-0.2151733573,-1408.2626704871,870.4158941071,1085.1398238793,-1230.702200599,0.8606933962,-0.4303467113,-1507.5328124983,1740.5833200333,1022.9499455938,-1507.3176544987,1360.9195064033,-1230.8543511393
