Year,Annual_mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1943,2161.1666666667,648.4598126313,1742.4223214885,-219.1582083514,-2053.8143053315,1161.4443233448,-1448.6207140753,-94.0569570433,-340.5923846078,2061.5870664402,1278.5170373092,-2150.0258232922,-672.6724019366,-1822.5499841929,1603.7890721237,-2159.1189522449,2134.1598320319
1944,1977.5833333333,-628.1868171893,1155.1069345269,212.6751966804,-1759.9937588264,1263.328623923,-1471.6349351395,91.2906714481,-463.8434628471,1875.157903481,1605.1678448329,-1966.114213619,-901.8080777914,-1521.4587172364,1321.0323455368,-1975.4750956629,1922.4164695122
1945,2181,-1775.6488105633,664.8574825335,680.0312538309,-1761.649109415,1592.4987195489,-1766.3393168649,295.4722140464,-676.241189357,1266.4250082596,2077.1917407691,-2072.2737497284,-1285.827910452,-1490.2042907719,1279.3773554731,-2160.8926791321,2073.5136492961
1946,2105.5833333333,-2105.5080238091,-8.9042259382,1057.9283485369,-1485.7207987841,1705.5437769752,-1824.9708863638,471.0163141883,-807.8280205912,-17.8082926388,2105.5645058681,-1820.5133295236,-1492.017051401,-1234.7475849064,1050.2201852637,-2052.2243555176,1944.4523812011
1947,1743.75,-1402.3344474416,-545.59296631,1170.3079574238,-1022.0778657952,1529.4252319411,-1593.9555456878,540.776323001,-793.2262552449,-1036.3986491784,1656.1981697892,-1292.6884184871,-1412.806037201,-837.5694134828,707.0854127128,-1657.7771354985,1552.8863997377
1948,2234.1666666667,-673.7569709464,-1320.2680274327,1810.896060264,-1010.3964262825,2078.5595187998,-2125.7168566256,880.3781135563,-1169.2105624577,-2130.1531021374,1802.3298893887,-1308.4938491888,-1992.6363833375,-819.2014533993,687.6252903307,-2053.3959850978,1903.7981392685
1949,2199.0833333333,695.225265983,-1783.9318656103,2011.1930700459,-675.630325503,2130.8132597424,-2151.5980883285,1044.1515014992,-1294.2565662642,-2086.2956014149,1285.906141911,-889.4211274439,-2092.7233859746,-543.6932582351,454.5252173922,-1935.3850130817,1777.8828554284
1950,2502.25,2034.8760312912,-2382.5431383081,2448.808569938,-386.9990275624,2482.9670280126,-2488.8537830322,1380.6243390802,-1626.789283494,-1456.2055486011,764.6850702092,-514.3847298453,-2472.1421510839,-310.0480612781,258.5766988463,-2086.8951810859,1901.2658124547
1951,1823.0833333333,1823.04037291,-1823.0725931958,1823.0785599363,3.128910803,1823.0816149099,-1823.0821399837,1138.0711949324,-1290.2203504468,12.5155510471,-6.2578123896,4.1718794777,-1823.080648297,2.5031290848,-2.0859411043,-1424.2284913394,1288.0078755856
1952,2465.8333333333,1985.3699219639,-2342.6401089747,2410.8244615142,389.7268011469,2445.9827596022,-2452.0425512004,1705.7114120986,-1876.3442334682,1462.4090743492,-769.6566426666,517.9376830687,-2434.840251073,312.2536909412,-260.4253345594,-1780.6972248011,1599.8957295112
1953,1817.6666666667,550.9126327532,-1467.1890880034,1658.9827292043,564.3808165372,1759.9969015575,-1777.5530538583,1369.8963871718,-1471.3545304645,1732.1684046836,-1072.9717103238,742.7573057958,-1727.8270761381,454.2279357541,-379.7594657549,-1194.6949399428,1067.2525271897
1954,2017.9166666667,-634.9008374644,-1181.2727652856,1630.1892850895,918.7702848541,1875.3321876429,-1918.5376985891,1633.5296199849,-1721.3351713505,1915.4343111154,-1636.0263835298,1189.3151678132,-1796.6215064059,745.0616481888,-625.4604485527,-1184.7230284937,1053.0873190211
1955,2239.5833333333,-1819.192549237,-686.1123062404,1495.469400654,1318.9252861883,1961.3541570209,-2045.111470331,1923.4844612398,-1996.1934520236,1306.2434595989,-2131.8966696747,1667.1247039895,-1810.0192254221,1081.121351968,-912.8266981552,-1147.1447311972,1015.354720796
1956,2278,-2277.9683373644,6.0053094833,1135.5310716832,1612.9110476097,1841.5277542458,-1971.8042221902,2053.1509585828,-2105.1716517252,-12.0105772316,-2277.9920843273,1974.8045941921,-1608.6646488621,1340.9174211496,-1140.7331455485,-986.8409908747,870.3656224671
1957,1565.6666666667,-1262.0764483271,487.5044026367,481.3580936256,1267.7897113033,1140.2594267814,-1265.8906811078,1466.2206943963,-1489.3367991226,-926.5393406053,-1487.834523232,1489.8343856994,-918.7063508134,1072.9028617481,-921.3212765348,-549.0983394942,482.8954440563
1958,2257.9166666667,-687.7731063736,1331.4002617254,232.5466198687,2013.0050316089,1437.6367453748,-1676.7913648379,2176.9451069522,-2195.8352948895,-2150.6175456739,-1823.6120795522,2245.9095581076,-1022.7406398147,1741.088240716,-1512.13702832,-599.2475906737,525.8279484097
1959,1809.25,566.5117714121,1466.0059660396,-191.7070865013,1721.3013763657,968.1253820983,-1209.6568761941,1780.3734949776,-1787.1275944501,-1718.2694711109,-1060.2886729737,1799.0647446618,-557.2316701529,1528.4367199976,-1345.4054423765,-321.9561785107,282.06475082
1960,1877.75,1523.5325112523,1787.0028309301,-582.6362756504,1854.9244766673,798.1481477364,-1102.701182528,1870.2865681292,-1872.034922025,-1097.6309715279,-576.685308247,1785.0714363286,-291.8908158208,1699.6777920433,-1519.8668246104,-167.2519523818,146.3909601683
1961,1781.6666666667,1781.6546040175,1781.6636510018,-892.7252642862,1781.6659127503,549.3180727893,-889.8868650681,1781.6664204899,-1781.6664781876,6.5561493779,3.2780802375,1541.8747399242,1.6390408123,1694.8704275012,-1543.514651207,0.9365948388,-0.8195204928
