Year,annual_Mean_bihar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1910,1076.75,883.5457039868,-1027.3140705908,-715.1560295532,-163.1412532,454.5717736837,441.2178077088,-147.5722118843,701.3302425095,-615.4165674294,322.5156784811,-804.9487038897,-1064.3192631933,976.0917298441,-982.2002894831,1066.5894265272,-817.0229210013
1911,1165.5833333333,1165.3593106579,-1165.5273263189,-576.1822295792,5.7131796128,355.8354375768,586.0870682689,-262.5485050166,826.209323925,22.8513458532,-11.4262219638,-1013.2119942349,-1165.5693314956,1109.9394795704,-1007.5149901378,1135.6288079553,-822.1694837463
1912,902.4166666667,719.7044849572,-855.5200648079,-273.3384478696,145.4652452089,165.6753058882,532.7713718282,-281.2258441626,687.6140276256,544.4091242901,-287.1258591434,-860.0243794184,-890.6153505943,887.0780874854,-728.3615212503,857.4776176979,-584.4166230441
1913,1342.9166666667,390.6835129531,-1078.9069873135,-131.9254005435,421.0362208675,79.2370649919,901.7373105469,-531.1442353671,1088.3110152628,1284.8313376929,-799.6154615422,-1336.4209150947,-1275.2073064129,1340.5769881445,-995.1356673232,1233.414356511,-786.7682680872
1914,868.0833333333,-283.6029346772,-503.6753382554,96.1048623407,397.7037258189,-57.7387058941,646.914098958,-413.3927667378,741.2181357735,820.4499064864,-707.0218011097,-862.747082896,-771.6219411608,866.1610216656,-578.8530229518,763.3315754113,-451.845492189
1915,1084.0833333333,-888.575247999,-325.5357559799,341.2941973875,641.2210173369,-207.0399104145,878.9846485469,-599.5856148661,967.0505910988,621.0239143983,-1034.0518097221,-1028.9581840098,-874.1122814241,1064.1292915368,-634.5255402503,903.1798071573,-489.9488012706
1916,1257.4166666667,-1257.2126610502,11.3251945312,635.2356526413,893.1229372175,-392.8690062511,1090.8374238408,-786.5137306242,1162.7820819592,-22.6494703334,-1257.3656642282,-1085.1600523539,-885.1147341601,1194.4666665665,-625.4361585003,981.0671868689,-478.5754940297
1917,1023.6666666667,-817.3875317685,324.9315885107,689.4418470732,830.8173928578,-439.1313264867,936.3898979321,-709.2859154095,974.2621607144,-616.2556834253,-970.7280294874,-756.6791816541,-598.0266751321,924.6929882629,-413.6029539247,738.110381072,-314.1762031799
1918,1206.1666666667,-352.7374496825,717.4182440828,979.8994212072,1077.0710282635,-649.8317785147,1148.207308443,-910.2968704471,1173.4490188546,-1153.4358757076,-969.6128561622,-703.3030300629,-542.9143835388,1016.1479653132,-369.402226057,791.3265036836,-279.025855302
1919,1059,344.3809236694,862.0267971954,969.8781533371,1008.5552484197,-677.8118601683,1036.4800925208,-858.2633163536,1046.3128136644,-1001.4403523988,-615.1347827241,-425.2262546921,-322.950941917,813.6658295733,-217.2326352278,620.3749509786,-163.4334603493
1920,973.75,797.2504617271,928.5773256996,953.5860560745,962.3905738836,-712.0608612967,968.6958977415,-837.1064542791,970.9059902532,-559.0892270254,-293.1436724485,-197.1362375624,-148.3018738925,664.1975551818,-99.0823909619,497.4352688584,-74.3681423086
1921,1185.5833333333,1185.4234906832,1185.5433719973,1185.5655726841,1185.5733429572,-961.4405462659,1185.5788931627,-1069.3774564183,1185.5808357367,19.4676144955,9.734135347,6.4894640712,4.8671086864,693.714578392,3.2447441876,511.8981304734,2.4335594699
1922,1163.25,929.9575532481,1103.3865338846,1136.5156656605,1148.1866024391,-1021.1632232698,1156.5471046567,-1090.0125709462,1159.4780351062,698.8057753459,368.3594974234,247.9570612189,186.596056977,557.1142018844,124.6970617546,406.2304243645,93.6015416879
1923,766.9166666667,225.4487187428,616.8717668583,698.9623678875,728.440255893,-713.9487570994,749.7356410485,-739.7373571819,757.2364711655,733.0307284339,455.6647856312,315.6149265929,239.8665612496,280.0684663566,161.4237967361,202.3606088169,121.4664577072
1924,1187.1666666667,-384.2715457097,690.3514773032,956.828008372,1055.6815231364,-1150.7773321958,1128.1132504578,-1168.5538890107,1153.8272421225,1123.2542337345,965.8051212485,702.7409599842,543.0480790437,291.6782922138,369.7636928987,209.3955656708,279.3696293095
1925,945.9166666667,-773.5961647442,285.4827794954,629.3845540002,763.1517737151,-938.8126719836,863.1638545633,-942.2899536093,899.0651595494,544.3411744218,901.8081408423,706.1398044749,558.8897123345,115.7113097365,386.9192428056,82.7525444005,294.0071073329
1926,909.5,-909.4000111768,-6.7431385371,450.8512723097,640.7251226152,-909.4960003767,786.5238337666,-909.4979593751,839.6218640014,-13.4859064047,909.4750024507,789.8882074425,645.4932743644,-2.6972761726,456.6952035189,-1.9266272208,349.6074591463
1927,788.6666666667,-631.251531512,-249.1466133879,240.0807852097,461.2491094946,-782.1576518925,636.9218255458,-785.3434990482,702.0565891719,-472.7754383161,748.2787422802,751.2365324478,639.7221038088,-101.1163621636,465.1082661645,-72.3235757816,359.3211052965
1928,1050.75,-310.485693464,-623.6315900004,104.8887961935,473.7059580094,-1016.9929896302,779.194284213,-1033.4815260189,894.9363379253,-1003.829764778,845.670859409,1045.5017469775,937.91163115,-264.1984510612,704.9339188533,-189.7142532277,550.6037718367
1929,1168.4166666667,376.4412174104,-950.0099208396,-127.5049359222,357.2044806108,-1085.1687628053,779.8136363038,-1125.6920267715,944.0765793881,-1106.1146038178,680.2048641777,1161.4387621653,1112.4758271424,-433.1353866589,870.1081539551,-313.0734223911,688.4162397819
1930,888.6666666667,725.9601726674,-847.0138874958,-278.4288436481,136.0430748388,-777.5811119472,520.7197000575,-831.3945363523,674.7686234127,-512.5527018221,268.8790040774,843.9228776786,878.1917366002,-430.2279149329,720.1245992303,-313.8655275241,578.2869091569
1931,982.75,982.6639201528,-982.7284798026,-495.1251179883,-3.2518436328,-793.5295559919,489.4963497295,-884.6193299718,693.7585362249,13.0070184893,-6.5036516612,848.9102897463,982.7446199359,-579.7485715957,852.168343757,-428.0726615194,696.0579400561
1932,706,565.7581709901,-670.0228610723,-474.6608663265,-112.6939663047,-513.4015851208,285.7668878418,-605.3956166141,457.642906527,422.3194193474,-222.4980126664,522.6213370866,696.9476809335,-484.6182130249,645.5798059212,-363.2246513997,537.5862443418
1933,1110.8333333333,329.929448355,-894.5522129326,-901.4171307544,-346.5921795942,-705.9129026521,341.047282913,-897.5064387041,651.5153675388,1060.7060165534,-658.5795569114,649.1516393162,1055.3788682215,-857.6932250599,1057.1837329727,-654.5478492281,899.7101868408
1934,976.9166666667,-313.2703012543,-569.3536665132,-894.0767951154,-446.1810661416,-521.4307273945,201.1562218563,-734.5593541844,509.1583514715,925.325830161,-793.8529939725,393.6913233071,869.0734317812,-826.1211594796,955.9823994299,-644.0409372015,833.740935026
1935,942.5833333333,-769.1383833131,-285.9076067018,-922.7596825391,-556.3144773091,-399.2909691806,96.6577540719,-650.2189897456,426.6676609928,544.8756625069,-898.1760299116,192.2964080738,760.9057383238,-853.832572703,937.6143230857,-682.40648125,840.4867918895
1936,1290,-1289.9125642307,7.5097317658,-1289.990284817,-914.8189859141,-395.773956679,-2.5032564902,-802.6231960636,491.926573876,-15.019209026,-1289.9781408725,-5.0065035542,909.5087811621,-1227.7878380301,1289.997571202,-1009.8990073966,1192.5218010228
