Year,Annual_mean_nmamt,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1943,1407.1666666667,422.2215005819,1134.5162073207,-142.6970581561,-1337.2680018442,756.233085679,-943.2177596158,-61.2418360697,-221.7645949907,1342.3289582752,832.460811753,-1399.9127034824,-437.9866653467,-1186.6884797209,1044.2501068821,-1405.8333703867,1389.5821286223
1944,1521.9166666667,-483.4425790034,888.9519171238,163.6714473463,-1354.4631923412,972.2376072945,-1132.5468299041,70.2558481588,-356.9665484799,1443.0916856127,1235.3116324716,-1513.0902146275,-694.0171473897,-1170.8904198259,1016.6454732856,-1520.2942005011,1479.4611260673
1945,1578.3333333333,-1284.9911536018,481.1401772575,492.1210433882,-1274.859931695,1152.4501661415,-1278.2541136107,213.8256049992,-489.3782716804,916.4790484654,1503.2099789915,-1499.6509559779,-930.5204273254,-1078.4223317752,925.852327398,-1563.7821848831,1500.5482392506
1946,1855.4166666667,-1855.3503047497,-7.8463050823,932.2347203932,-1309.2006801333,1502.9062490345,-1608.1440924879,415.0543489691,-711.8490868905,-15.6924698461,1855.4000761133,-1604.2161428679,-1314.7488680668,-1088.0458692342,925.4423724581,-1808.3973275656,1713.4298597952
1947,2068.75,-1663.7014412299,-647.2805442602,1388.4298706353,-1212.5726651549,1814.4793970341,-1891.036866031,641.5661753166,-941.0677078353,-1229.5625551185,1964.8802659506,-1533.6195932589,-1676.1247251381,-993.6755407269,838.871941247,-1966.7535191756,1842.3132556028
1948,1764.5833333333,-532.1448660869,-1042.7704394213,1430.2769144383,-798.028509009,1641.6821264671,-1678.927804515,695.3378050934,-923.462650505,-1682.4316276672,1423.5112050654,-1033.4709905472,-1573.8185534192,-647.0194246822,543.0983037207,-1621.8075339218,1503.6525773595
1949,1766.25,558.387946209,-1432.8104851116,1615.3411315178,-542.6497688065,1711.4171450317,-1728.1110114867,838.6369727643,-1039.5152496105,-1675.6616496264,1032.8083928078,-714.3613170705,-1680.8242891255,-436.6811401832,365.0635485478,-1554.4539524903,1427.9520679376
1950,1517.5833333333,1234.1268660154,-1444.9826187008,1485.1717743078,-234.7100706344,1505.8884519644,-1509.4586952676,837.3313963762,-986.6273567692,-883.1704547765,463.7719323802,-311.9679060583,-1499.3232994767,-188.0402718865,156.8235342422,-1265.675829845,1153.0939391418
1951,1753,1752.9586910698,-1752.989672737,1752.9954101029,3.0086285895,1752.9983476366,-1752.9988525253,1094.3212349316,-1240.6214422453,12.034425736,-6.0172483168,4.0115032542,-1752.9974181824,2.406903297,-2.00575294,-1369.4780154416,1238.4940197842
1952,1817.6666666667,1463.4974227062,-1726.8558991875,1777.1173759564,287.28357508,1803.0339963652,-1807.5009167551,1257.3496897836,-1383.130125732,1078.0015792398,-567.3454102685,381.7930633016,-1794.8203973101,230.1749748837,-191.970172268,-1312.6248011951,1179.348619537
1953,1800.8333333333,545.8106544011,-1453.6015125505,1643.6189610354,559.1541099105,1743.6976454546,-1761.0912109791,1357.2098352641,-1457.728379027,1716.1268671012,-1063.0349651612,735.8786621239,-1711.8257434139,450.0213502496,-376.2425295691,-1183.6309211518,1057.3687471377
1954,1783.6666666667,-561.1983285191,-1044.1446321773,1440.9486458004,812.1147708866,1657.6341170476,-1695.8241131778,1443.9012176815,-1521.5138553618,1693.0809826601,-1446.1081442524,1051.2534318346,-1588.0605708492,658.5711136829,-552.8538278267,-1047.1943713351,930.8396025739
1955,1669.5,-1356.1192011689,-511.4632164919,1114.7994036354,983.1943882231,1462.0937369956,-1524.5307235949,1433.863728241,-1488.0647299662,973.7407058457,-1589.2248513586,1242.7600491061,-1349.2809362644,805.9231689424,-680.4677235662,-855.1403737602,756.8973572624
1956,2104.6666666667,-2104.6374132454,5.5483646587,1049.1283562493,1490.1844241451,1701.4056541276,-1821.7693677069,1896.9264197384,-1944.9888511843,-11.0966907581,-2104.6593532987,1824.5414409905,-1486.2611344623,1238.8868301344,-1053.9346035986,-911.7521241415,804.1393825369
1957,1333.9166666667,-1075.2638763238,415.343994731,410.1074624582,1080.1314620413,971.4782118634,-1078.5135263196,1249.1906884821,-1268.8851470916,-789.3929755732,-1267.6052380975,1269.3090808969,-782.7194250303,914.0917664468,-784.9472894131,-467.820796268,411.4172542586
1958,1534.8333333333,-467.5181794866,905.0278656748,158.0750560894,1368.353078877,977.2427966898,-1139.8096828781,1479.7923963773,-1492.6331227634,-1461.8960677697,-1239.612005211,1526.6714242932,-695.2145083634,1183.5158965679,-1027.884841764,-407.3423925089,357.4349198675
1959,1711,535.7477633749,1386.3955826413,-181.2965731678,1627.8273621455,915.5520402212,-1143.9673429146,1683.6916124951,-1690.078935528,-1624.9601022914,-1002.7104708902,1701.367847515,-526.9716112376,1445.4360800972,-1272.3441823442,-304.4725833532,266.7474305116
