Year,Annual_mean_kerela,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1935,1945.1666666667,-1587.2361544775,-590.014619011,-1904.2574935751,-1148.0410688135,-823.998744816,199.4682429093,-1341.8275712706,880.494787631,1124.4353031771,-1853.5253196179,396.8334150172,1570.246816723,-1762.0157291162,1934.9123445733,-1408.2514441992,1734.4746438233
1936,2535.5,-2535.3281446566,14.7604068933,-2535.4809047701,-1798.0802626243,-777.8952458601,-4.9201603341,-1577.5590028056,966.8835876454,-29.5203135546,-2535.4570358001,-9.8403021409,1787.643034602,-2413.2217545158,2535.495226188,-1984.9604133753,2343.9062220878
1937,2342.4166666667,-1879.3416672086,736.4491145515,-2289.374514047,-1898.94530205,-433.7126117845,-249.2456843481,-1287.26593638,720.6922767963,-1398.2098333839,-2223.6363331162,-495.6613508335,1371.4673091621,-2301.9142491972,2329.1183802271,-1957.0033851054,2228.793055096
1938,2083.25,-621.9150444686,1233.7597104199,-1900.0221880914,-1858.7846135624,-126.2314357215,-436.8691675768,-984.3013131099,483.5377525572,-1988.2535653089,-1678.6207253113,-854.3103928083,940.6648302578,-2079.4220800828,2036.9280529564,-1836.050513333,2026.3567811104
1939,2412.1666666667,769.8756510247,1959.0324666347,-1946.4204279487,-2296.0902467795,156.6066651981,-749.4856743664,-944.654293286,374.1628461231,-2286.0095165457,-1407.3875878552,-1424.7791216332,739.2682912325,-2407.0775600702,2292.7754472904,-2219.4991087978,2382.9708752645
1940,2584.3333333333,2106.4076691748,2461.9543386114,-1722.6082489408,-2553.5553097785,489.5191616479,-1055.2215074962,-794.9612924004,199.4250137356,-1497.272690267,-785.8496118025,-1926.4993118241,397.6607318806,-2537.5479834197,2359.0859136316,-2459.0273120408,2576.6273385327
1941,2527.8333333333,2527.7056653208,2527.8014161287,-1256.5755781422,-2527.8253540196,785.9743392401,-1267.5818965319,-558.9568586682,-3.1757184438,25.4053265268,12.7028236532,-2193.3898826993,-6.3514318754,-2402.5373460504,2187.0476667635,-2465.2603495896,2527.8313385041
1942,2480,1992.0811314745,2354.863181382,-758.7068604969,-2448.5159474493,1060.2982500668,-1460.9597848619,-329.481517809,-197.5859943489,1477.1637572129,777.8299280509,-2361.0937931041,-393.9157969495,-2241.911599708,2003.9951364752,-2458.0158521503,2472.1164565686
1943,2866.4166666667,860.0706476085,2311.0241610334,-290.6757496978,-2724.0321840243,1540.4565585752,-1921.3467533758,-124.7504107125,-451.7373429997,2734.3414176117,1695.7334206957,-2851.6402500109,-892.1844917642,-2417.299753462,2127.1509490953,-2863.7007249312,2830.5967356521
1944,2013.8333333333,-639.7017666427,1176.2805688668,216.5736295554,-1792.2552431756,1286.4860109444,-1498.6106713827,92.9640708868,-472.3459240303,1909.5303988674,1634.5912999129,-2002.1539794495,-918.3386291309,-1549.3477460172,1345.2474679636,-2011.6864507096,1957.6552358616
