Year,annual_Mean_haryana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1912,446.5,356.097204765,-423.2963807591,-135.2430883447,71.9736618182,81.9732467401,263.6059664102,-139.1456342251,340.2194071491,269.3641229981,-142.0648585548,-425.5250369308,-440.6609149953,438.9107390107,-360.3805550706,424.2649437275,-289.1591343864
1913,434.3333333333,126.3569636681,-348.9459024435,-42.6680228131,136.1737997618,25.6272778615,291.6447323965,-171.7855262013,351.9874037573,415.5470637328,-258.6159345676,-432.2324424122,-412.4344077582,433.576621918,-321.8521314358,398.9175070515,-254.4608261415
1914,551.5833333333,-180.2023446893,-320.0371569466,61.0653819558,252.7024057978,-36.6873854577,411.0515907654,-262.6712799306,470.9727215786,521.3168792391,-449.2442451325,-548.192660237,-490.291411015,550.3618894503,-367.8053334854,485.0236822163,-287.1042826917
1915,359.5833333333,-294.7345833742,-107.9780757209,113.2050474077,212.6888069651,-68.673780724,291.5534444215,-198.8786169688,320.7643401177,205.9895603527,-342.9882050081,-341.2986827582,-289.937312195,352.964708508,-210.4679611177,299.578819885,-162.5128047877
1916,510.9166666667,-510.8337745973,4.6016812029,258.1105299452,362.8959326715,-159.63151152,443.2317745091,-319.5782147562,472.4645068919,-9.2029891056,-510.8959432291,-440.9249308093,-359.6420196922,485.3386660958,-254.1287751187,398.6296588703,-194.4559847502
1917,810.8333333333,-647.4422569282,257.3741742274,546.0981090868,658.079878908,-347.830332686,741.7025160272,-561.8163429611,771.7006531871,-488.1282806682,-768.9013128388,-599.355945742,-473.689315291,732.4375428034,-327.6096338072,584.647835219,-248.8549704445
1918,190.8333333333,-55.8082603132,113.5061336845,155.0345222167,170.4085017772,-102.8129592924,181.6633091291,-144.0223734506,185.656919523,-182.4905454864,-153.4070361069,-111.2728989114,-85.8970525289,160.7695758302,-58.4448734054,125.1995090117,-44.1460003207
1919,417.1666666667,135.660285166,339.573980702,382.0593355056,397.295213534,-267.007095688,408.2955101636,-338.0914511856,412.1688656912,-394.4924775031,-242.3170225305,-167.507289187,-127.2184777492,320.5233823453,-85.5733846357,244.3812562637,-64.3805400149
1920,309.3333333333,253.2643315302,294.9832291824,302.9278083139,305.7247591147,-226.2019612437,307.7277854015,-265.9254735373,308.4298704167,-177.6071211569,-93.1236039477,-62.6247080729,-47.1113868968,210.997118086,-31.4757240266,158.0213708175,-23.6246935601
1921,396.25,396.1965768046,396.2366439761,396.2440639708,396.2466609799,-321.3361775142,396.2485159899,-357.4112465923,396.2491652441,6.5065373533,3.2533783352,2.1689324284,1.6267028751,231.8558248579,1.0844702757,171.0884663247,0.813353151
1922,459.0833333333,367.0131213442,435.4578705616,448.532473825,453.1384764551,-403.0079659713,456.4379969592,-430.1797588181,457.5947055949,275.7877366846,145.3752039047,97.8576868153,73.6412119698,219.8683385759,49.2124158755,160.3211840263,36.9403892226
1923,486.0833333333,142.892793266,390.9826161126,443.0128753545,461.6964047184,-452.5114745366,475.193740545,-468.8566776531,479.947879638,464.6059153488,288.8072035843,200.0414937321,152.0310389839,177.5116118937,102.3128334632,128.2592014809,76.9872702169
1924,542.0833333333,-175.4658433835,315.2278786928,436.9062329397,482.0446657308,-525.4672571903,515.1183977416,-533.5843779316,526.859905237,512.8996764314,441.0053568525,320.8851568648,247.9662890761,133.1859673488,168.8412763096,95.614077965,127.5655930548
1925,474.5,-388.0588989563,143.2066731078,315.7180557199,382.8196810443,-470.9364244802,432.988722393,-472.6807326096,450.9978872764,273.0577611803,452.3738484676,354.2207776125,280.3557415235,58.0442425901,194.0902271637,41.5111433192,147.4827300814
1926,536,-535.941073107,-3.9739661967,265.702344099,377.6016115687,-535.9976428828,463.5258657492,-535.9987973888,494.818382743,-7.9477139449,535.9852680743,465.5086082344,380.4116493231,-1.5895987119,269.1463761255,-1.1354284666,206.0358417839
1927,427,-341.7722788955,-134.8929889053,129.9845671402,249.7295474483,-423.4758884506,344.8422901624,-425.2007701947,380.107561593,-255.9701337628,405.133165199,406.7345723016,346.3584171509,-54.746432769,251.8189725092,-39.1574389587,194.5436753528
1928,341.0833333333,-100.7865765206,-202.4366799803,34.0478898263,153.7694096385,-330.1254902495,252.9337937412,-335.4778242521,290.5047530437,-325.8525836494,274.5127153272,339.3797010372,304.4549374492,-85.7613022598,228.828180654,-61.5830310462,178.7311633062
1929,280.0833333333,90.2374246998,-227.7286458841,-30.5644454486,85.6261507262,-260.1278233926,186.9305778202,-269.8417304028,226.3063535641,-265.1487899174,163.0531737038,278.4106468609,266.6736505973,-103.8276895058,208.5752446646,-75.0474126422,165.0215378294
1930,453.0833333333,370.1280437727,-431.8468216724,-141.955891121,69.3610463145,-396.4467841013,265.4869663552,-423.883354665,344.0282263217,-261.3230532452,137.086941595,430.2708820272,447.7427299226,-219.3500725328,367.1527987636,-160.0231501452,294.8373898242
1931,425.6666666667,425.6293821878,-425.6573454449,-214.4576530725,-1.4084980307,-343.7080447729,212.0196179444,-383.162514839,300.493394644,5.6338379075,-2.8169806398,367.695561776,425.6643363549,-251.1113121098,369.1067497593,-185.414665907,301.4893545159
1932,389.75,312.3289619595,-369.8886828653,-262.0383465308,-62.2131350811,-283.4253084997,157.7587033092,-334.2109654042,252.6435167406,233.1430505533,-122.8308788056,288.5151078322,384.75263264,-267.5353378562,356.3948007901,-200.519557908,296.7765421136
1933,831.0833333333,246.8406893057,-669.2700089705,-674.406079896,-259.30711231,-528.1372376706,255.1586310947,-671.4802485518,487.4390668015,793.5799777259,-492.7242251371,485.6706150713,789.5944075599,-641.6935133925,790.9447388549,-489.70785449,673.1290092546
1934,432.75,-138.7710205932,-252.2096383352,-396.0539791038,-197.6472128699,-230.9809577207,89.1072473001,-325.391685258,225.5445977302,409.8965312656,-351.657305954,174.3955507919,384.9781055395,-365.9513077862,423.4766356939,-285.2942580302,369.3266805075
1935,486.25,-396.7750390445,-147.4910162766,-476.0235830268,-286.9856754574,-205.982035644,49.8627879948,-335.4281500456,220.1048361677,281.0847396983,-463.3416262518,99.1998533384,392.5280685279,-440.4661888181,483.6866391305,-352.0326954375,433.5815074419
1936,457.75,-457.7189738578,2.6647904774,-457.7465526163,-324.6189075986,-140.4383943177,-0.8882679522,-284.8067968977,174.5576660401,-5.3294906447,-457.7422433987,-1.7765325597,322.7346081992,-435.6743277971,457.7491381533,-358.3575741363,423.1603522622
1937,436.4166666667,-350.1409623669,137.2081544312,-426.5343601716,-353.7933240897,-80.8051850979,-46.4370717183,-239.8310757701,134.2724911446,-260.5010814128,-414.286651127,-92.3468815794,255.5186701086,-428.8706436745,433.9390571436,-364.610150763,415.2474022391
1938,224.5,-67.0202460018,132.9552646054,-204.754581172,-200.3106423832,-13.6032436431,-47.0789046543,-106.0725524028,52.1081125401,-214.2627747087,-180.8954051758,-92.0641704958,101.3700969125,-224.0874868492,219.5081473125,-197.8607177455,218.3689414901
1939,254.75,81.3069116694,206.8942945658,-205.5623315221,-242.491117405,16.5392999209,-79.1535171194,-99.7653622115,39.5155054446,-241.4264869785,-148.634832311,-150.471559968,78.0744547191,-254.2125371773,242.1410399491,-234.4022930835,251.6666194184
