Year,annual_Mean_gnbwl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1942,1447.4166666667,1162.649770584,1374.3823453436,-442.8084495958,-1429.0414479586,618.8279672517,-852.6683636851,-192.2971936433,-115.3182505325,862.1255812847,453.9693555214,-1378.0187531057,-229.9033426484,-1308.459763956,1169.6032098602,-1434.5859319893,1442.8155488623
1943,1319.4166666667,395.8920418521,1063.7685129995,-133.7985622283,-1253.8768372142,709.0748812955,-884.3993123295,-57.422834922,-207.9354987852,1258.6221956871,780.5490958478,-1312.6150559184,-410.6741011746,-1112.6873563556,979.1313479962,-1318.1665138773,1302.9286890014
1944,1253.3333333333,-398.1260684559,732.072322923,134.7871964128,-1115.4315508301,800.6600018457,-932.6783289578,57.8573047313,-293.9701521731,1188.4191508303,1017.3075043735,-1246.064547336,-571.5390624071,-964.2551560084,837.2308995354,-1251.997195178,1218.3702204485
1945,1202.5833333333,-979.0764169814,366.596298733,374.9629766175,-971.357110575,878.0891419001,-973.9432478097,162.9206602821,-372.8731699377,698.2950975926,1145.3444142992,-1142.6326792881,-708.9936793417,-821.68493505,705.4369026758,-1191.4963416076,1143.3163485019
1946,1484.25,-1484.1969134469,-6.2766916605,745.7459063518,-1047.3017432677,1202.2574983855,-1286.443046544,332.0248376146,-569.447297849,-12.5532710725,1484.2367283024,-1283.3008632661,-1051.7400444257,-870.3878273941,740.3123330721,-1446.6366405242,1370.6669316331
1947,1158.4166666667,-931.6057899109,-362.4510310478,777.4647988601,-678.9918476664,1016.0353715276,-1058.9044702799,359.2512146254,-526.960008323,-688.5055016597,1100.253799677,-858.7651950007,-938.5623284651,-556.4182755949,469.7344956808,-1101.3027460246,1031.6212111233
1948,1461.8333333333,-440.8446394756,-863.8620565917,1184.883949614,-661.11055986,1360.0183170005,-1390.8737448312,576.0385254757,-765.0239346002,-1393.7764161766,1179.2790346757,-856.1581164666,-1303.7981140061,-536.0101415714,449.9187930988,-1343.5536132258,1245.6705318555
1949,1439.8333333333,455.1935331257,-1168.0160208426,1316.8135914303,-442.3638926841,1395.1340142419,-1408.7427250043,683.6503710979,-847.4047880523,-1365.9864110518,841.9374102822,-582.3418181809,-1370.1949548247,-355.979086581,297.5969800335,-1267.1788342122,1164.0554767552
1950,1389.5833333333,1130.0348959863,-1323.1060988873,1359.9055151602,-214.9135373032,1378.8748523698,-1382.1439648337,766.7069921791,-903.410640499,-808.6797723023,424.655261789,-285.6550894252,-1372.8634352191,-172.180085317,143.5963117615,-1158.9228742334,1055.8366610944
1951,1102.8333333333,1102.8073453897,-1102.8268363283,1102.8304457739,1.8927643446,1102.8322938116,-1102.8326114432,688.4506190856,-780.4898348865,7.5710016253,-3.7855231139,2.5236848292,-1102.8317090809,1.5142117433,-1.2618432406,-861.5550511672,779.1514478905
1952,1281.25,1031.6006269076,-1217.238650743,1252.6673232775,202.5025200282,1270.9356177386,-1274.0842928255,886.2897249414,-974.9507465216,759.8695342386,-399.9145279148,269.1210502596,-1265.1459567505,162.2473977094,-135.3173206776,-925.2524444514,831.3077675307
1953,1295.3333333333,392.5997599264,-1045.5706576162,1182.2495664199,402.1976623993,1254.2358260502,-1266.7469589754,976.2364497615,-1048.5390987319,1234.4042583166,-764.6374594385,529.3150358193,-1231.3104745778,323.6988370329,-270.6299805471,-851.3817232015,760.561767955
1954,959.5833333333,-301.9154715425,-561.7326406055,775.2066742847,436.9043910838,891.7798943096,-912.3254841731,776.7951094002,-818.5494320917,910.8497250668,-777.9823996013,565.5570579132,-854.3504706283,354.3004286142,-297.4262673997,-563.3733501179,500.7763980395
1955,1133.5833333333,-920.7991161775,-347.2813284386,756.9440095663,667.5847690425,992.7553710867,-1035.1498169642,973.5873163254,-1010.3895638279,661.1657592902,-1079.0768520031,843.8287385439,-916.155963662,547.2183721236,-462.034663256,-580.63664292,513.930056446
1956,1515.6666666667,-1515.6455999409,3.9956309951,755.5252828422,1073.149917103,1225.2599793029,-1311.93939103,1366.0634194727,-1400.6753731921,-7.9912342219,-1515.6613999761,1313.9356877073,-1070.3245768768,892.1790333578,-758.9864812422,-656.5943789153,579.097524928
1957,1009.5,-813.7531453606,314.329802722,310.3668270268,817.4369045522,735.2087873126,-816.2124606632,945.3798963123,-960.2845425043,-597.4077907224,-959.3159151816,960.6053730233,-592.3572883624,691.7790753256,-594.0433225432,-354.0439261567,311.3580694751
1958,1022.5,-311.4587936964,602.9260458155,105.3089878497,911.5915016734,651.0353521221,-759.3367797217,985.8319417716,-994.3863837717,-973.9094772253,-825.8246988782,1017.0625679269,-463.1492028243,788.4536893739,-684.7728856795,-271.3699183453,238.121754087
