Year,annual_Mean_eastrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1950,677.1666666667,550.6844716513,-644.7712239615,662.7041808811,-104.7308788081,671.948248897,-673.5413408239,373.6288466835,-440.2467684975,-394.0828683496,206.9414487135,-139.2043932036,-669.0187870819,-83.9061693125,69.9768293478,-564.7620555335,514.5264592536
1951,307.9166666667,307.9094107009,-307.9148526699,307.9158604455,0.5284694162,307.916376427,-307.9164651113,192.2189086838,-217.9167250949,2.1138620981,-1.0569372757,0.7046256191,-307.9162131672,0.4227756076,-0.3523130402,-240.5505451159,217.5430406495
1952,621.4166666667,500.3346910472,-590.3706418596,607.5538360768,98.2153685756,616.4141074131,-617.9412404293,429.8577222041,-472.8590384918,368.5429019068,-193.9617973763,130.5258973519,-613.6060747635,78.6913069736,-65.6300006695,-448.7549579366,403.1910258522
1953,519,157.3025800838,-418.9278213866,473.6908324539,161.1481627266,502.5335000412,-507.5463240156,391.1477489137,-420.1171839232,494.5876042715,-306.3665785758,212.0801623187,-493.3480208229,129.6961114926,-108.4330622007,-341.1223219312,304.7335750659
1954,640.3333333333,-201.4692560428,-374.8461667749,517.2981402696,291.5478368292,595.0878599978,-608.7980043757,518.3581086088,-546.2209149972,607.8132251336,-519.1503915359,377.3982138954,-570.1110739303,236.4259221426,-198.4735943291,-375.9410180031,334.1698517182
1955,737.0833333333,-598.7258827163,-225.8107292538,492.1833246059,434.0797825613,645.5135820967,-673.0794773982,633.0500487317,-656.9797612334,429.9059869824,-701.6418992845,548.6778793223,-595.7067925156,355.8146365826,-300.4261263324,-377.5440054861,334.1697676443
1956,802.0833333333,-802.0721849258,2.1144682388,399.8202577169,567.9056494455,648.4015450181,-694.2718626932,722.9140319125,-741.230507311,-4.2289217828,-802.0805462266,695.3282930604,-566.4104933164,472.136749289,-401.6519068592,-347.4665107246,306.4555573692
1957,624.75,-503.6080015493,194.5295138688,192.076944215,505.8877722823,454.9991974973,-505.1299998012,585.067944746,-594.2919939867,-369.7181944069,-593.6925388903,594.4905466036,-366.5925863342,428.1218200195,-367.6360235353,-219.1074223541,192.6903951506
1958,669,-203.780863553,394.4816866998,68.9014306812,596.4349287232,425.9585824642,-496.8179028204,645.0088694819,-650.6058589176,-637.2082545366,-540.3195340338,665.4424038563,-303.028671579,515.8684774485,-448.0323330265,-177.551565157,155.7979985176
1959,724.4166666667,226.8291109984,586.9830898062,-76.7587721872,689.2023796577,387.6336394722,-484.3419107713,712.8546263111,-715.5589414838,-687.9884165799,-424.5354628603,720.3385300238,-223.11339453,611.9801209958,-538.6951089576,-128.9100022935,112.9376297213
1960,512,415.4166666282,487.2562638457,-158.8655428747,505.776238612,217.628465792,-300.6699536436,509.9649702474,-510.4416882315,-299.2874756609,-157.2429119012,486.7296367462,-79.5889216883,463.445628825,-414.4171557452,-45.6040471945,39.9159481327
1961,706.3333333333,706.328551153,706.3321377872,-353.9167137553,706.3330344467,217.7745549561,-352.791443794,706.3332357377,-706.3332586117,2.5991544494,1.2995794244,611.2689567632,0.6497899871,671.9233743452,-611.9190918442,0.3713085993,-0.3248950279
1962,544.0833333333,439.0952329009,517.1707027561,-364.5156048765,537.3130528235,101.5917445374,-221.02014417,541.8695323239,-542.3881223049,321.2818856624,169.0004077563,403.9245565853,85.5649278419,534.5145377377,-497.1687535255,49.0314547018,-42.916178694
1963,553.1666666667,169.3363529517,447.0260546204,-447.850778298,525.9625812064,34.3976527197,-170.6710855944,544.2340656543,-546.3233149649,526.6104449023,325.823675631,324.6891459366,171.3380409652,552.0961533995,-526.1793816306,99.0082970895,-86.7421272329
1964,525.9166666667,-163.8791639693,308.5462336725,-480.6428280247,468.4324641842,-33.3085508961,-109.1106463775,506.9096458609,-511.3437104336,499.7318880105,425.8961868394,213.4732117767,239.0802517485,524.8608203277,-514.4737185949,140.1104964341,-122.9469400912
1965,363.9166666667,-294.9284999128,112.040045708,-356.0247729372,294.2860685159,-68.3631668039,-37.8945356202,340.6675081079,-346.071484941,213.1959666996,346.240333346,75.377061052,214.0818772229,357.4378515243,-361.9383158052,127.9882385119,-112.5605063445
1966,421.4166666667,-421.4157487899,-0.4397775448,-421.4165646804,297.831057277,-130.3922017127,0.1465925386,379.6287623884,-389.2961458401,-0.8795546108,421.4164371974,-0.2931850595,298.1420270035,400.7366724883,-421.4166411701,182.9590383444,-161.3707463529
1967,641.5833333333,-518.3840428851,-198.7996622609,-627.4844493133,376.8836847306,-273.3782232653,67.2517992542,550.6832792305,-571.5905284115,-378.0306306283,610.006449061,-133.7626236327,519.2185106436,580.4252929149,-638.0488767392,329.2067733006,-291.3991102274
1968,447.5833333333,-137.6934463769,-263.3453517439,-408.7996784726,203.0539951914,-239.9367318381,93.1636128577,362.0480166336,-381.585130929,-425.8771596395,361.9116825866,-182.2461608881,398.8733073478,377.8375378289,-437.7800606664,263.1578878343,-233.9308191147
1969,531.0833333333,164.6852036447,-429.8319868546,-429.5376691797,163.9708855139,-338.6178558894,164.2090280774,399.887215535,-429.6112844146,-504.9042390839,311.9198134474,-312.324987313,505.1366702668,409.1301194208,-505.0593054704,349.4849378673,-312.2237198677
1970,639.1666666667,517.401968975,-607.9638638991,-427.5572377285,99.8593797187,-466.0035869174,260.0516230767,441.6505493347,-485.9839578875,-375.2722082417,197.2662362662,-475.1092887366,631.317774231,437.4639239503,-583.8725726672,462.0376825002,-415.1549354805
1971,727.5833333333,727.5832443804,-727.5833110951,-363.6878023306,-0.089944874,-588.6695732284,363.8435951285,453.6006033557,-514.4473075803,0.3597794821,-0.1798897465,-630.1656047265,727.5833277737,427.6045375104,-630.0756662722,568.8796002493,-514.5109082107
1972,350,283.1197453541,-332.8602641304,-108.1364244885,-54.7672692142,-306.7132715099,205.7331419935,192.8066010845,-227.3009632349,205.774657795,-108.1852326477,-332.8761236539,345.6885104004,168.6029924992,-283.1499148605,292.1054853614,-266.1470873643
1973,754.3333333333,233.2041028867,-610.3000926001,-78.8849575428,-233.0762478172,-701.3534772336,504.734199755,357.4684573336,-443.3968847663,717.3803901519,-443.3425027561,-750.1972682243,717.42194034,277.70862023,-560.590907325,664.2552820936,-610.2605839781
1974,540.5,-166.7866377216,-317.798735296,56.4150128014,-245.3263475175,-523.5068002632,401.6419826283,212.4627680255,-282.4370364938,514.1230081192,-437.2004275435,-537.5477619064,481.6173099191,134.4651630654,-361.6959604287,496.990766718,-460.8357304036
1975,695.4166666667,-562.2850494127,-215.1533702951,214.723681945,-408.6459963618,-689.9194996994,562.5507832323,214.969229255,-315.7729434587,409.1941635516,-661.2967318296,-661.4363769024,562.6835611028,87.2663979566,-408.8287619072,661.3566139015,-619.590016428
1976,655.5,-655.4996047424,-0.3599245335,327.5421755091,-463.3812250557,-655.4999841897,567.6196552473,145.9627276963,-250.9321192833,0.7198489585,-655.4999011856,-567.7995889949,463.6357301437,0.1439698195,-327.8538957781,639.0423555004,-605.5685935648
