Year,Annual_mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1956,1656.75,-1656.7269723127,4.3675577201,825.8521084333,1173.042308221,1339.3112848318,-1434.0591067224,1493.2211811379,-1531.054931517,-8.7350850871,-1656.7442430682,1436.2412253853,-1169.953975857,975.2260480639,-829.6354867811,-717.7123843861,633.0018634866
1957,990.25,-798.2358119795,308.3358961322,304.4484898101,801.8493261346,721.1892041965,-800.6482309774,927.3525926927,-941.9730244823,-586.0159135838,-941.0228677648,942.2877371336,-581.0617184754,678.5876466975,-582.7156019301,-347.2927170646,305.4208304088
1958,1308.5833333333,-398.601258143,771.6175792535,134.7731895847,1166.6439568686,833.1872970149,-971.7901753847,1261.6559887237,-1272.6038618066,-1246.3977604619,-1056.8806231854,1301.6245724658,-592.7328387898,1009.0536498971,-876.3641910208,-347.2959924838,304.745387484
1959,1251.75,391.9475527788,1014.2727472655,-132.6347080437,1190.9017536912,669.8084549076,-836.9147407909,1231.7714646059,-1236.4443644344,-1188.8040958756,-733.5726662401,1244.7032163219,-385.52701015,1057.4661678911,-930.8339159844,-222.7490100598,195.1496762962
1960,1212.9166666667,984.1128878213,1154.29930343,-376.3489545152,1198.1727137041,515.5570181646,-712.2804647271,1208.0957262291,-1209.2250605811,-709.0054049877,-372.5049776566,1153.0517354886,-188.5443937457,1097.8924361244,-981.745068664,-108.0349783392,94.5599975702
1961,1380.9166666667,1380.9073172672,1380.9143293149,-691.9247125578,1380.9160823286,425.7600460333,-689.7247540245,1380.9164758624,-1380.9165205822,5.0814757409,2.540742171,1195.061099873,1.270371623,1313.6434917738,-1196.3321461717,0.7259267107,-0.6351858787
1962,1218.3333333333,983.2397465172,1158.0694860308,-816.2380369574,1203.1730482891,227.4883297804,-494.9172166895,1213.3761008693,-1214.5373484603,719.427350036,378.4325258688,904.4841502951,191.6004357558,1196.906500494,-1113.280314986,109.7932099465,-96.099637388
1963,1274.8333333333,390.2542222741,1030.2206362733,-1032.1213025613,1212.1385307767,79.2731683198,-393.3302602325,1254.247173302,-1259.0620777844,1213.6316038135,750.896443176,748.2817948987,394.8673321311,1272.3662179429,-1212.6381711637,228.1754939553,-199.9067584225
1964,1201.6666666667,-374.4474004812,704.9970986464,-1098.2205007314,1070.321047938,-76.1066873589,-249.3068484809,1158.2375365733,-1168.3689279754,1141.8370820966,973.1299341188,487.7648096687,546.2743194759,1199.2541640191,-1175.5206816889,320.1383867183,-280.921387437
1965,1047.1666666667,-848.6538882309,322.394141142,-1024.4578192645,846.8052981384,-196.7143471623,-109.0411574544,980.2674391764,-995.8173299218,613.4693193376,996.3031895639,216.8967596015,616.0185182465,1028.523939147,-1041.4739813163,368.2849107259,-323.8917615582
1966,1083.3333333333,-1083.3309737529,-1.1305335343,-1083.3330711576,765.632537987,-335.1984619863,0.3768445722,975.9094148801,-1000.7613003601,-2.2610658374,1083.332743438,-0.7536890989,766.4319460243,1030.1713945714,-1083.3332677894,470.331718109,-414.8348235293
1967,1154.1666666667,-932.5391601453,-357.6276558402,-1128.8036917768,677.9892237328,-491.7896340076,120.981610556,990.6433845101,-1028.2541652812,-680.0525047671,1097.3619066756,-240.6302555283,934.0403133413,1044.1473317148,-1147.808409253,592.2215625684,-524.2080369724
1968,1201.5,-369.6265332085,-706.9285573345,-1097.3885243378,545.0814564644,-644.0900762693,250.0899218362,971.8876007864,-1024.3333490476,-1143.2315933127,971.5216234469,-489.2245666886,1070.7420117931,1014.2732490071,-1175.1839349634,706.4253261582,-627.9677061992
1969,1128.25,349.8623838295,-913.1484810959,-912.5232234465,348.3448641099,-719.3703359308,348.8507816005,849.5328748044,-912.6796139479,-1072.6343155434,662.6521817456,-663.5129457447,1073.1280995987,869.1687881435,-1072.963743412,742.4567038734,-663.297810025
1970,1099.3333333333,889.9044034834,-1045.6661398379,-735.3761512534,171.7529253258,-801.5018668336,447.2752296777,759.6159122325,-835.8670629011,-645.4486272652,339.2876386993,-817.1631990891,1085.8336476734,752.4151349089,-1004.2303753096,794.6807180628,-714.0448381823
1971,1320,1319.9998386194,-1319.9999596549,-659.8115667068,-0.1631802547,-1067.9791593104,660.0942099227,822.9336338511,-933.3232564508,0.6527209937,-0.3263605068,-1143.2623043029,1319.9999899137,775.7709167523,-1143.0991356949,1032.0756921256,-933.4386423157
1972,1092.75,883.9402906734,-1039.2372960814,-337.6173653137,-170.9912383823,-957.6026498356,642.3282597525,601.969752386,-709.6660787856,642.4578780156,-337.7697513593,-1039.2868117794,1079.2889135429,526.4026287242,-884.0344841822,911.9950546534,-830.9492277637
1973,1259,389.2231094137,-1018.6051479234,-131.6608416434,-389.0097163083,-1170.5753793688,842.4132003865,596.6232272863,-740.0397851359,1197.3246723835,-739.9490202872,-1252.0968104655,1197.3940206205,463.502191166,-935.6393534982,1108.6576228315,-1018.5392071079
1974,844.9166666667,-260.7230527073,-496.7871380152,88.1886855987,-383.497353913,-818.3526746637,627.8519984379,332.1245767823,-441.5092681176,803.6838080975,-683.4374244317,-840.3016894804,752.8704756815,210.1977009436,-565.4078542687,776.9024643469,-720.3844388779
1975,1104.3333333333,-892.9180916497,-341.6671615519,340.9848092433,-648.9366978773,-1095.603739966,893.3400814132,341.374742491,-501.4527317813,649.8071965711,-1050.1503043984,-1050.3720631169,893.5509348991,138.580503981,-649.2269326296,1050.2453981333,-983.9193406475
1976,969.8333333333,-969.832748537,-0.5325199238,484.609183648,-685.5874265444,-969.8333099414,839.811536711,215.9565503343,-371.2621413957,1.0650396871,-969.8331871342,-840.0777544778,685.9639750079,0.2130079785,-485.070383812,945.4837189566,-895.9582115315
1977,1218.5,-986.8008807855,375.716233854,814.907935691,-985.5334801393,-1208.9349862578,1113.0380877669,163.8076059616,-376.7424215895,-714.819048208,-1159.1287942324,-905.9068971742,716.5654258506,-152.3760118978,-495.8714200075,1207.4391571542,-1158.7956669642
1978,1033.3333333333,-321.0223905358,606.6525533165,835.632774255,-920.5031458043,-1000.9583899193,982.6660108707,46.6162182516,-241.4448112716,-982.202831676,-836.510882973,-607.861533878,469.5228815958,-256.6321870457,-319.6017660419,1032.2813114523,-1004.7299044458
1979,840.75,258.1633030865,679.6732154389,767.8290596572,-799.4672658653,-781.8366426094,822.3177136627,-37.4736816184,-131.7354521831,-800.1326586507,-494.8786545357,-342.4895584481,260.2165507993,-309.1796027769,-175.0832381943,839.9144514092,-830.3651805911
1980,1222.9166666667,987.652351667,1162.6137998788,1195.9915709183,-1207.7468622149,-1071.929447973,1216.1667646503,-163.7453945371,-96.3104529483,-721.1574071296,-379.2813282282,-255.2044982042,192.022629972,-588.6360778779,-128.3104601004,1211.9045421893,-1219.1183167618
1981,1098.5833333333,1098.579356178,1098.582339044,1098.5828914269,-1098.583084761,-889.1199671065,1098.5832228567,-244.0460604074,-0.3695114576,-2.9560881495,-1.4780454125,-0.9853637734,0.7390228734,-645.252682575,-0.4926819363,1071.1334467177,-1098.5832711902
1982,1085.75,880.3067533294,1033.113285155,1062.2496669773,-1072.5100959565,-791.9248822626,1079.8589348662,-335.0712440673,84.7797906794,635.5415663374,333.9610793735,224.6746703719,-169.0418781589,-742.7705186351,112.9501805653,1032.7537576302,-1082.434963216
1983,1095.25,341.9154540685,887.145834564,1001.054213332,-1041.9258701573,-698.7001532686,1071.4422965452,-429.9818239291,170.8848343332,1040.5125586792,642.2965286499,444.3681181973,-337.5841281768,-843.4397775315,227.1210419007,1007.3173251715,-1081.8368342291
1984,1235.5,-377.503321149,728.0298402952,1000.4224437491,-1101.3494263141,-662.7745928833,1175.2621365576,-584.8979088197,287.8741337711,1176.4146771107,998.2148073635,724.9932303429,-559.9015012997,-1042.6840792054,381.0763183064,1088.2806100718,-1201.4943749787
1985,1223.1666666667,-986.7042156334,380.2847538505,819.6589030905,-990.2747924682,-521.6765168112,1117.7468726732,-673.2605016679,377.4026877601,722.8772269866,1162.549009906,907.9074716231,-717.9780845169,-1106.3409538891,496.768178403,1021.2036972801,-1163.4878193243
1986,1472.0833333333,-1472.0698283442,3.1528137766,737.8611950442,-1042.0341992688,-456.09800261,1275.3867075942,-917.1244966067,562.6136164238,6.3056130911,1472.0799570822,1273.8093252625,-1039.8048219892,-1399.64422347,735.1313395373,1151.482521796,-1360.3290994801
1987,1058.4166666667,-859.1310008063,-324.7516514002,328.6124996495,-623.1064435184,-199.2843349881,856.7539865043,-730.9291219497,479.968538214,-618.1745414778,1007.3639884325,1006.1111595405,-855.5607519771,-1039.4862164099,621.4647591673,765.4988301518,-943.3324136287
1988,1117.5833333333,-350.5780048473,-654.6725791164,118.6421054497,-508.5967674561,-71.2712556477,831.139262286,-841.1030431546,583.3494819781,-1061.1727330937,905.7573190968,1111.2679954713,-995.1491521765,-1115.3084394296,747.127856281,735.8927759806,-953.2554163603
