Year,annual_Mean_punjab,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1925,554.8333333333,-453.7576658326,167.4517087376,369.1694441488,447.6314429913,-550.666440848,506.2941541434,-552.7060621205,527.3522889859,319.2867182891,528.9612018084,414.1907160773,327.8202541382,67.8711919853,226.9499003259,48.5390221671,172.4517065124
1926,515.4166666667,-515.360002669,-3.8213589749,255.4989114198,363.1010521693,-515.4144000669,445.7256653698,-515.4155102378,475.8164952217,-7.6425078901,515.4025004726,447.6322670911,365.8031795808,-1.5285553534,258.8106866194,-1.0918260363,198.1237066905
1927,384.75,-307.9552325645,-121.5458489024,117.1230965039,225.0197737253,-381.5745856707,310.7214780796,-383.1287970314,342.4973871731,-230.6428781388,365.0468040055,366.4897580633,312.0875901612,-49.329484796,226.9024582504,-35.2829616847,175.2943304262
1928,367.75,-108.6662990924,-218.2636376137,36.7098308829,165.7914499719,-355.9354479529,272.7087299732,-361.7062395369,313.2170718744,-351.3284758478,295.9747404689,365.9131738767,328.2579132576,-92.4663148967,246.7184855182,-66.3977317387,192.7047700147
1929,344.5,110.9912269292,-280.104201751,-37.5939950861,105.3194011016,-319.9549008942,229.9229421924,-331.9029198112,278.3547948927,-326.1306449028,200.5539482569,342.4426105692,328.0062099284,-127.707131335,256.5456892126,-92.3076476831,202.975018562
1930,461.3333333333,376.867546501,-439.7101351441,-144.5407050296,70.6240118443,-403.6655134789,270.3211046059,-431.601664783,350.2924886733,-266.0813725888,139.5830988909,438.1054998901,455.8954851668,-223.3441238811,373.8381265321,-162.9369430207,300.2059573417
1931,499.5,499.4562484012,-499.4890619805,-251.6560635311,-1.6528068121,-403.3253759532,248.795142905,-449.6233582507,352.6149975521,6.6110462838,-3.3055955276,431.473609492,499.4972654877,-294.6674245862,433.1295728381,-217.575471309,353.7837100565
1932,446.5,357.805982078,-423.7467527886,-300.1927433637,-71.2717506445,-324.6937786918,180.7293419566,-382.8741399691,289.4299685047,267.0901143607,-140.7158111268,330.524684149,440.7749851796,-306.4901304754,408.2880783907,-229.7164402974,339.989034134
1933,748,222.164045644,-602.3631405314,-606.9857588636,-233.3842013532,-475.3394009157,229.6504434679,-604.3524226413,438.7098228829,714.2458518067,-443.4666243689,437.1181631285,710.6587187664,-577.5434649766,711.8740575516,-440.7518000504,605.8363568705
1934,335.25,-107.5054526952,-195.3859763186,-306.8217134479,-153.1166449789,-178.9401873503,69.0310910627,-252.0798670889,174.7286571671,317.5454930255,-272.4277569523,135.1036589324,298.2412706692,-283.501273103,328.0659552082,-221.0165222521,286.1161632355
