Year,Mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1908,2099.75,-607.6624022531,-1251.601161187,-1912.3184609706,-943.6367214924,1331.7663582594,443.5985651898,88.0428986746,1101.714313365,-2009.8996162465,1685.9550989915,-867.1725124397,-1875.7664567721,1623.3756279766,-2052.3572728601,2097.9033606182,-1787.5054221531
1909,1993.5,654.2766135594,-1624.5526582925,-1604.8319912456,-606.422511824,1061.3473756412,622.4185390282,-95.1968806034,1175.8271498564,-1883.0731167295,1155.3661369603,-1182.6058218505,-1899.0244830315,1687.4785919293,-1893.8419713044,1991.2257039129,-1609.8051943203
1910,1824.25,1496.9196661229,-1740.4947232647,-1211.6307285,-276.3969641515,770.1440057046,747.5194666475,-250.0196029997,1188.2068213587,-1042.6502652733,546.4120979514,-1363.7591577161,-1803.1896130767,1653.712875011,-1664.0621110653,1807.0357662802,-1384.2155223002
1911,1379,1378.7349590883,-1378.9337381801,-681.6803842909,6.7592547531,420.9884050204,693.3987849942,-310.6207664986,977.4870874606,27.0353950939,-13.518347112,-1198.7296833202,-1378.9834344455,1313.1678349847,-1191.9895657969,1343.5608432147,-972.7075582351
1912,1862.25,1485.2004917664,-1765.4729788773,-564.0681775364,300.1857821298,341.8917776972,1099.4405620321,-580.3448092624,1418.9778073091,1123.4565241953,-592.5202303332,-1774.7681971432,-1837.8965038073,1830.5969176318,-1503.065372184,1769.5126348411,-1206.0170168221
1913,1015.75,295.5036512185,-816.0594023186,-99.7852129832,318.4617124513,59.9330180072,682.0525025291,-401.7447772193,823.1723838062,971.8156484728,-604.8099820501,-1010.8367691027,-964.5362617354,1013.9803232078,-752.6967824389,932.9250754894,-595.0926726475
1914,1959.25,-640.0872225396,-1136.7870670753,216.9071151476,897.6108570346,-130.3153224802,1460.0746261498,-933.0207678576,1672.9173073026,1851.7421283866,-1595.7367347499,-1947.2061693355,-1741.5382028063,1954.9113737525,-1306.4618817913,1722.8269818082,-1019.807945364
1915,1576.25,-1291.9825363903,-473.3268371405,496.2395067711,932.3311202189,-301.0346610417,1278.0378681886,-871.7935202701,1406.085166472,902.9646660654,-1503.5044954182,-1496.0983973053,-1270.9534786023,1547.2369551402,-922.5959407975,1313.2174688585,-712.3823180901
1916,2564.25,-2563.8339713151,23.0954709337,1295.4361632596,1821.3457420053,-801.1778243325,2224.5449247136,-1603.9375707492,2371.261676981,-46.1890683033,-2564.1459907194,-2212.9670601749,-1805.0146122897,2435.8760552002,-1275.4520533642,2000.6904637247,-975.9590779236
1917,2330.5,-1860.8807972514,739.7457509191,1569.5970933938,1891.4554875171,-999.7351576462,2131.8039633318,-1614.7744961202,2218.0247139807,-1402.9800099863,-2209.9788401696,-1722.6709536095,-1361.4794852445,2105.1745449169,-941.6167542705,1680.3968509491,-715.2598256373
1918,841.5,-246.0924946037,500.5174401512,683.6413123774,751.4345200639,-453.3647436397,801.0637971989,-635.0820642376,818.6740494952,-804.71158442,-676.4647382565,-490.6697524924,-378.7722429857,708.930644862,-257.7189221172,552.0806296944,-194.6665114577
1919,1896.75,616.8125750423,1543.9559278379,1737.1259559415,1806.3995915393,-1214.0128855281,1856.415123219,-1537.215245792,1874.0262788649,-1793.656268567,-1101.7534458282,-761.6127465414,-578.4298386034,1457.3377358292,-389.0802652204,1111.1389879779,-292.721828062
1920,1527,1250.2197227803,1456.1618242293,1495.3796227222,1509.1865533456,-1116.6284315277,1519.0743372029,-1312.7204679684,1522.5401254086,-876.7437737282,-459.6974457806,-309.1420125883,-232.5617062221,1041.5709029654,-155.3774695752,780.0602367618,-116.6214668089
1921,2311.5,2311.1883590758,2311.4220884559,2311.465372539,2311.4805220319,-1874.4948247927,2311.4913431185,-2084.936521131,2311.4951305029,37.9554854063,18.9783823895,12.6523339009,9.4892711566,1352.5166918842,6.3261906429,998.0340439355,4.7446455735
1922,2361.75,1888.0956384129,2240.2090233415,2307.4711999774,2331.1667382855,-2073.2707866387,2348.1410912727,-2213.0558258604,2354.0917682459,1418.787483278,747.8814038597,503.4279727777,378.8465399229,1131.1106523107,253.1728223502,824.7708615885,190.03949373
1923,1798.5,528.7008853533,1446.6289766744,1639.1400438713,1708.2687822104,-1674.2846980027,1758.2086933727,-1734.7616693142,1775.7989265124,1719.0339216626,1068.5817019985,740.15009733,562.5122378451,656.7899207768,378.5557297793,474.5568466246,284.8515799453
1924,2327.5,-753.3837057188,1353.4688165856,1875.9094674876,2069.7167584724,-2256.1568782977,2211.7228053689,-2291.0087126258,2262.1363802106,2202.1964585289,1893.5095490993,1377.7590209432,1064.6730905299,571.8499720295,724.940330104,410.5305453591,547.7182189116
1925,2243.75,-1834.9992719352,677.1759173566,1492.9238936177,1810.2247825987,-2226.8990567489,2047.4572094191,-2235.1472998794,2132.6164585382,1291.1977906182,2139.1229135915,1674.9902418717,1325.7074711133,274.4715896974,917.7870330843,196.2921555796,697.3959444047
1926,1814,-1813.8005720449,-13.449206494,899.2239779768,1277.9278421374,-1813.9920227415,1568.7237322183,-1813.9959299687,1674.6278848803,-26.8976736867,1813.9501423261,1575.433983838,1287.4379325972,-5.3797239989,910.8797132306,-3.8426627582,697.2929421566
1927,1905.5,-1525.1687996146,-601.9639118479,580.0599360319,1114.4254160719,-1889.7735490462,1538.8688147644,-1897.4708843234,1696.2411208795,-1142.2742151875,1807.9186095709,1815.0649356458,1545.6345758339,-244.3075588792,1123.7495365719,-174.7412176482,868.1568463345
1928,1092.75,-322.8962565146,-648.559048273,109.0813533576,492.6406715344,-1057.643673013,810.3398087782,-1074.7912800924,930.7082400836,-1043.9542949904,879.4735490071,1087.2919666997,975.4013180482,-274.7588459644,733.1111490144,-197.2974068185,572.6122024027
1929,1332.5,429.3056890659,-1083.4219124331,-145.4107357104,407.3674948268,-1237.5614091189,889.3245877254,-1283.7754445528,1076.6553387358,-1261.4487208506,775.7275357107,1324.5421729564,1268.7032648175,-493.9615457297,992.2993639356,-357.0390146233,785.0920529286
1930,1606.25,1312.160758455,-1530.9633047151,-503.2554352323,245.8955614701,-1405.464734882,941.1920685115,-1502.7315911657,1219.6328972505,-926.4303570537,485.9942614021,1525.3763566442,1587.3167407135,-777.6296943296,1301.6130579673,-567.3066431946,1045.2438272692
1931,2048.5,2048.3205702701,-2048.4551420764,-1032.066959246,-6.778327837,-1654.0781434236,1020.3340345163,-1843.9508496028,1446.1097547258,27.1125691938,-13.5565814581,1769.5168949837,2048.4887854884,-1208.4608994289,1776.3081680856,-892.299004958,1450.9027628642
1932,1849,1481.7094308225,-1754.776586576,-1243.1273963706,-295.1432630274,-1344.5885706633,748.4178124921,-1585.5191149001,1198.5576971223,1106.0461846649,-582.7178830314,1368.734918234,1825.2921558725,-1269.2054899194,1690.7607098418,-951.2781592608,1407.9277135808
1933,2239.5,665.1555885291,-1803.4655791713,-1817.3056242981,-698.7485547198,-1423.1585405757,687.5697435113,-1809.4214578945,1313.4901715858,2138.4406218197,-1327.7319589226,1308.7247678158,2127.7008030447,-1729.1558687367,2131.3395078701,-1319.6038184663,1813.8643331704
1934,1889.25,-605.8305041147,-1101.0677278445,-1729.0467475954,-862.8653885948,-1008.39000433,389.0141350937,-1420.5574612909,984.6565713733,1789.4789640519,-1535.2248764267,761.355966109,1680.6929772166,-1597.627979746,1848.7654164867,-1245.5047417296,1612.3637923717
1935,1728,-1410.0303701158,-524.1428814931,-1691.65810071,-1019.8688888234,-732.0040258977,177.1987612444,-1192.0202432468,782.1926105868,998.8985711027,-1646.5898820836,352.5292474422,1394.9377941722,-1565.296810854,1718.8905139693,-1251.0282729378,1540.8305292742
1936,2827.25,-2827.058369939,16.4588287868,-2827.2287075572,-2004.9782774618,-867.404588388,-5.4863038078,-1759.082504706,1078.1390744116,-32.917099782,-2827.2020920788,-10.9725869564,1993.3400787137,-2690.9016783494,2827.2446768843,-2213.361991211,2613.6102805749
1937,1471,-1180.1963467063,462.4782016458,-1437.6903810864,-1192.5071141551,-272.3645459896,-156.5222818354,-808.3823084769,452.5831609096,-878.0532917888,-1396.4078605488,-311.2673579605,861.2594166043,-1445.5651331185,1462.6488899558,-1228.9666567249,1399.6461990307
1938,1623.75,-484.7399752578,961.6307835326,-1480.9365308597,-1448.7946795977,-98.38871655,-340.5094495874,-767.1951312431,376.8843997191,-1549.7068170745,-1308.3693280807,-665.876155201,733.1834960427,-1620.7663998725,1587.6452302834,-1431.0750130922,1579.4056514235
