Year,Mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1938,2619,-781.8531148269,1551.0460490051,-2388.6514391511,-2336.8087857529,-158.6944102507,-549.2189367016,-1237.4343641113,607.8892950666,-2499.5733049534,-2110.3120986873,-1074.0136415528,1182.5758744486,-2614.1876528198,2560.7654245495,-2308.2281504471,2547.4755356909
1939,1274.75,406.8537218864,1035.2836192259,-1028.6185754968,-1213.4074657979,82.7614232549,-396.0782961647,-499.2184317141,197.7326420626,-1208.080134547,-743.7576152636,-752.9484634707,390.678748393,-1272.0605761208,1211.6557043184,-1172.9315921813,1259.320993537
1940,1698.75,1384.5969410592,1618.3070808911,-1132.3155280104,-1678.5187988467,321.7737685474,-693.6247397881,-522.5488825481,131.0872857281,-984.1965623337,-516.5595361987,-1266.3384648373,261.3928163094,-1667.9967638982,1550.6889703786,-1616.3830696489,1693.6846477489
1941,1262.5,1262.4362375424,1262.484059285,-627.5835698838,-1262.496014815,392.5466881878,-633.0805608379,-279.1651746827,-1.5860794628,12.6884254263,6.3442928181,-1095.4657059041,-3.1721564222,-1199.9222256433,1092.2981522868,-1231.2485757329,1262.4990037034
1942,1735,1393.6535335114,1647.454685362,-530.7888721622,-1712.973858397,741.7812354298,-1022.0827527159,-230.5042070155,-138.2305242723,1033.4189995018,544.1673085356,-1651.8136012241,-275.5822208498,-1568.4341231828,1401.9885329776,-1719.619961081,1729.4846984462
1943,1685.5,505.7356431819,1358.9201000396,-170.9221069683,-1601.7755895594,905.8137149677,-1129.7833948826,-73.3552870038,-265.6289647211,1607.837587947,997.1190559349,-1676.8112247208,-524.6191101091,-1421.4118909649,1250.7996364916,-1683.9029817269,1664.4372932319
1944,1790.5,-568.7590895508,1045.8315113247,192.5556982797,-1593.4948338521,1143.8152127432,-1332.4153308503,82.6543915863,-419.9629447867,1697.764220395,1453.3157605697,-1780.1158819189,-816.4952323722,-1377.5256836434,1196.0600470357,-1788.5912058242,1740.552031686
1945,1976.25,-1608.9527564767,602.44135711,616.1906306205,-1596.2673326371,1442.9966045431,-1600.5172283146,267.733591476,-612.7563734373,1147.5343523948,1882.1871516253,-1877.7308564423,-1165.115730413,-1350.3054698019,1159.2707467922,-1958.0303333951,1878.8543555348
1946,1674,-1673.9401267375,-7.0791186388,841.0838115095,-1181.19125365,1355.9569158143,-1450.9049418323,374.4716713268,-642.2467755426,-14.1581106791,1673.9850316175,-1447.361054477,-1186.1969576342,-981.6602479756,834.955597482,-1631.5780604598,1545.8962058641
1947,2259.75,-1817.304812964,-707.0415516094,1516.6184411689,-1324.524993394,1982.0035371349,-2065.6292727558,700.7995962159,-1027.9529922808,-1343.0834967633,2146.290359387,-1675.2129913555,-1830.8750925103,-1085.4179108919,916.3218703241,-2148.3365631213,2012.4071924342
1948,1621.25,-488.9198757838,-958.0684249796,1314.0985771144,-733.2063585724,1508.3317955334,-1542.5520867456,638.8570010905,-848.4517528017,-1545.7713018308,1307.8824318559,-949.524350465,-1445.9806355028,-594.463419466,498.9835890855,-1490.0715736694,1381.5140917369
1949,1916,605.7303920376,-1554.2901001975,1752.296451798,-588.6578666855,1856.5181881844,-1874.6274298704,909.7400933143,-1127.6496635548,-1817.7311935933,1120.3741716177,-774.9278321342,-1823.3315430797,-473.7047782539,396.0151501869,-1686.2470052209,1549.0197662666
1950,1823.25,1482.7006590276,-1736.0262871097,1784.310210866,-281.9846046571,1809.1995739131,-1813.4889239339,1005.9839449407,-1185.3506089042,-1061.055756414,557.1833566825,-374.8034603619,-1801.3120899046,-225.9147278351,188.4104170933,-1520.6041118653,1385.3463453124
1951,1617.5,1617.4618840875,-1617.4904709938,1617.4957648838,2.7760734418,1617.4984753578,-1617.4989412206,1009.7345108396,-1144.7262879816,11.1042119955,-5.5521387065,3.7014298424,-1617.4976177467,2.220859146,-1.8507161326,-1263.6227552634,1142.763306903
1952,1290.75,1039.2495681412,-1226.2640300071,1261.9553931867,204.0040021279,1280.3591403677,-1283.5311617284,892.8612389995,-982.1796496178,765.5036888339,-402.8797478291,271.1164843884,-1274.5265511616,163.4504028046,-136.3206491041,-932.11285282,837.47161049
1953,2264.75,686.4181469069,-1828.067020203,2067.0352847783,703.1990395668,2192.8954609218,-2214.7698214151,1706.8436692723,-1833.2570179,2158.2221132444,-1336.885758824,925.4499953976,-2152.8129675502,565.9523477897,-473.167201578,-1488.5487063463,1329.7598538159
1954,2232,-702.2582709332,-1306.5954881441,1803.1381297476,1016.2437873026,2074.2885531211,-2122.0777914107,1806.832845,-1903.9537984494,2118.6451616318,-1809.5944933497,1315.4911193355,-1987.2273560841,824.1061815027,-691.8163392127,-1310.4117941431,1164.8106856354
1955,2409.25,-1957.011192223,-738.0908980731,1608.7633801789,1418.8446120554,2109.9426989259,-2200.0453104648,2069.2040654476,-2147.4213541006,1405.2020338777,-2293.4051950499,1793.4229699364,-1947.1429144625,1163.0250942046,-981.9807505252,-1234.05028181,1092.2761054114
1956,2238.5,-2238.4688863872,5.9011787877,1115.8412221083,1584.943538224,1809.5960833535,-1937.613587082,2017.5497896346,-2068.6684558327,-11.8023165641,-2238.4922215833,1940.5619333182,-1580.7707710614,1317.6662191586,-1120.9530932003,-969.7293933595,855.2736812522
1957,1808.75,-1458.0247663902,563.1936906126,556.0931138037,1464.6250630103,1317.2945953955,-1462.4311919014,1693.8641777662,-1720.5692583008,-1070.3926116583,-1718.8337410448,1721.1440995106,-1061.3434822442,1239.480339272,-1064.3643978703,-634.3506205409,557.8691512264
1958,1800.5,-548.4416215652,1061.6805334873,185.4365111232,1605.2034217731,1146.3952581866,-1337.101097202,1735.9319424546,-1750.9952899569,-1714.9379107522,-1454.1783572912,1790.9253335476,-815.5502588609,1388.3724867654,-1205.8030128762,-477.8499148956,419.3038809131
1959,2521.75,789.6095396205,2043.3331738899,-267.2031755615,2399.1663649857,1349.3824415125,-1686.0313541758,2481.5016503854,-2490.9155789993,-2394.9404663666,-1477.8405201445,2507.5536934371,-776.674845493,2130.3497574431,-1875.2390074964,-448.7456090421,393.1445545836
1960,1646,1335.4996743556,1566.4527544726,-510.7278976011,1625.9915796003,699.6415130736,-966.6069212841,1639.457697319,-1640.9902711506,-962.1624705818,-505.5113925574,1564.7597306334,-255.865947459,1489.9052832929,-1332.2864030402,-146.609886098,128.3235363797
1961,2044.75,2044.7361561635,2044.746539038,-1024.5462960613,2044.7491347593,630.4311296554,-1021.288774938,2044.7497174724,-2044.7497836898,7.5242393492,3.7621260424,1769.5500698559,1.8810638172,1945.1373096163,-1771.4321326784,1.0748937119,-0.9405320081
1962,2115.75,1707.4879565202,2011.0961819997,-1417.4738385986,2089.4227443921,395.0548019696,-859.4701241128,2107.1413012976,-2109.1579165567,1249.3530088964,657.1835430427,1570.7214837102,332.7321110399,2078.5402969249,-1933.3155894105,190.666197492,-166.886025557
1963,2022.25,619.0547268876,1634.2243548467,-1637.239354769,1922.7981256607,125.749900354,-623.9342021874,1989.5944668924,-1997.2322814482,1925.166566201,1191.1363568147,1186.9887774094,626.3724374967,2018.3364499164,-1923.5906981062,361.9515434575,-317.109250009
1964,2016,-628.1991340111,1182.7524140397,-1842.4514808386,1795.6454085793,-127.6818987923,-418.2545962864,1943.1402555326,-1960.1373859625,1915.6257066629,1632.5908020944,818.3083408811,916.4679845188,2011.9526169174,-1972.1356679208,537.0865361642,-471.2933567875
1965,2001.5,-1622.0729816591,616.2074233606,-1958.0954880706,1618.5396825312,-375.9895901755,-208.4156071732,1873.6322898407,-1903.3535436942,1172.5534069592,1904.2821905892,414.5652054836,1177.4258134048,1965.8672585095,-1990.6192967734,703.920657792,-619.0698972708
1966,1860.25,-1860.2459482374,-1.9413000066,-1860.249549804,1314.708857345,-575.5873282246,0.6471001066,1675.7866052592,-1718.4611159954,-3.8825978991,1860.2489870591,-1.2942001349,1316.0815639309,1768.9627723859,-1860.249887451,807.6319187191,-712.3352127419
1967,2104.25,-1700.1838507457,-652.0184792505,-2058.0088101845,1236.0942879767,-896.6194980741,220.5708771227,1806.1181301274,-1874.6892366436,-1239.856014287,2000.6848740408,-438.7115221911,1702.920718569,1903.6652904787,-2092.6577719889,1079.7246697771,-955.7239813422
1968,1436,-441.7675419786,-844.9017131355,-1311.5688064496,651.4664764734,-769.7988760073,298.9006473215,1161.5735286968,-1224.2552552911,-1366.3591910088,1161.1361225716,-584.7078466623,1279.7216220848,1212.2316983555,-1404.547757476,844.3002649714,-750.5298594274
1969,1964.25,609.1000996562,-1589.7645947199,-1588.6760395788,606.4581425463,-1252.4025547105,607.3389299878,1479.0116989449,-1588.9483108328,-1867.4247323785,1153.6579197818,-1155.1564845372,1868.2843958668,1513.1972453896,-1867.9982565895,1292.5952409336,-1154.7819395893
1970,2256.25,1826.4222046933,-2146.1045130467,-1509.2714747715,352.5023084593,-1644.9865861522,917.9788389573,1559.0206809958,-1715.5170351765,-1324.7060023656,696.3472421001,-1677.1295948557,2228.5435120345,1544.241947973,-2061.0625690955,1630.9869952662,-1465.4915095351
