Year,Mean_wmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1968,2072,-637.4250327157,-1219.1060930479,-1892.4586120916,939.9989827667,-1110.7404394757,431.2828281686,1676.0308854177,-1766.4741566596,-1971.5154900907,1675.3997534599,-843.6731603651,1846.5064073535,1749.1254031982,-2026.6176556339,1218.2382653348,-1082.9372344941
1969,2544,788.8764940946,-2058.9849199274,-2057.5750768428,785.4547611749,-1622.0501968606,786.5955137528,1915.5432160447,-2057.9277091809,-2418.5966751538,1494.1610018708,-1496.1018692441,2419.7100690264,1959.8186545863,-2419.3394755065,1674.1057874176,-1495.6167770474
1970,2545.25,2060.3661458152,-2420.9961271279,-1702.5920093794,397.6538506841,-1855.6906851652,1035.5615024293,1758.7135239023,-1935.2552836711,-1494.3857961312,785.5414151602,-1891.9508482245,2513.9946255981,1742.0418030264,-2325.0612760068,1839.8979056848,-1653.2043278201
1971,2577.25,2577.2496849105,-2577.2499212276,-1288.2570911327,-0.3186032662,-2085.1888547974,1288.8089413056,1606.7467483658,-1822.2783050665,1.274413016,-0.6372065275,-2232.1763437611,2577.2499803069,1514.6633296969,-2231.8577632347,2015.0886950991,-1822.503591597
1972,1830,1480.3118114228,-1740.383666739,-565.3990194684,-286.3545790341,-1603.6722481805,1075.6904281374,1008.1030856704,-1188.4593220568,1075.9074964709,-565.6542164151,-1740.4665893904,1807.4570686648,881.5527893529,-1480.4695548418,1527.2943948898,-1391.5690567903
1973,3307.5,1022.5221877569,-2675.9622928963,-345.8842206002,-1021.961585933,-3075.2010065625,2213.0910725007,1567.3799239472,-1944.1474101167,3145.4736726835,-1943.9089631454,-3289.3647344039,3145.6558563958,1217.6596483572,-2458.0040998374,2912.5377978676,-2675.7890607701
1974,1890,-583.213219785,-1111.2666229592,197.2698875017,-857.8479126882,-1830.5788205318,1404.4465257492,742.9317882851,-987.6151692383,1797.7659303335,-1528.7859538526,-1879.6767252603,1684.1012317246,470.1927071112,-1264.7647829976,1737.8585552212,-1611.4329888303
1975,2398,-1938.9232572679,-741.911729612,740.4300385441,-1409.1308797253,-2379.0441609766,1939.8395851756,741.2767574647,-1088.8774381029,1411.0211204747,-2280.3444883316,-2280.8260253736,1940.2974420961,300.9200560335,-1409.7611087648,2280.5509792247,-2136.5275389731
1976,2422.5,-2422.4985392655,-1.3301558847,1210.4819529685,-1712.4958317277,-2422.4999415706,2097.7248128706,539.4274719211,-927.3578321338,2.6603113683,-2422.4996348164,-2098.3897854158,1713.4363940092,0.5320623763,-1211.6339626582,2361.6782703274,-2237.9708892611
1977,2481,-2009.2351130315,764.9995701205,1659.2421735325,-2006.6545459382,-2461.5245801441,2266.2679489123,333.5302998692,-767.0890012011,-1455.4501917144,-2360.1136959298,-1844.5260663843,1459.0060086462,-310.2543172084,-1009.6487427482,2458.4789075909,-2359.4354121773
1978,2522.5,-783.6570775418,1480.9171603944,2039.8874255404,-2247.0669535079,-2443.4685857144,2398.8145281499,113.7962037481,-589.3979384831,-2397.6838479705,-2042.0310022254,-1483.8684379427,1146.165937573,-626.4722824091,-780.1891498459,2519.9318788437,-2452.6753393207
1979,1444.25,443.4758852009,1167.5504506662,1318.9855717037,-1373.3340454665,-1343.0479584759,1412.5868069668,-64.3727204013,-226.2966717995,-1374.4770648306,-850.1082329029,-588.332494545,447.0029776889,-531.1122703664,-300.7599961489,1442.8146850404,-1426.4108380241
1980,2067.25,1669.5531099013,1965.3124724765,2021.7351209383,-2041.606569742,-1812.0172958,2055.839790847,-276.7994550107,-162.8056835632,-1219.0631549345,-641.1469784911,-431.4042921261,324.6000260112,-995.04566841,-216.8993242733,2048.6348196313,-2060.8291709648
1981,1951.25,1951.2429359713,1951.248233992,1951.2492151075,-1951.249558498,-1579.2114108928,1951.2498037769,-433.4626795449,-0.6563081833,-5.2504592293,-2.6252319907,-1.7501549537,1.3126162923,-1146.0662643172,-0.8750775648,1902.4948535914,-1951.2498896245
1982,2056,1666.9681647206,1956.3259629552,2011.499254253,-2030.9286274801,-1499.6063163084,2044.8445499285,-634.4982526386,160.5408700316,1203.4754412983,632.3960204392,425.4488807596,-320.1014059357,-1406.5265358634,213.8849378238,1955.6451537533,-2049.7225736791
1983,2527.25,788.9576181645,2047.0571197461,2309.8966086678,-2404.2064874276,-1612.2254849104,2472.3145801815,-992.1676005704,394.3106117951,2400.9453220014,1482.0761488523,1025.363457397,-778.9632393835,-1946.2069644068,524.0736390262,2324.3485140741,-2496.2996021964
1984,2169.75,-662.9606079021,1278.5453225257,1756.91347416,-1934.1585736503,-1163.9459108932,2063.9619755532,-1027.1810907823,505.556375354,2065.9860345293,1753.0364858575,1273.2125143962,-983.2831100324,-1831.1321577142,669.2354040027,1911.2074898449,-2110.0302874222
1985,1929.75,-1556.6909334666,599.9628045316,1293.1490134123,-1562.3241156279,-823.0319593812,1763.4326427642,-1062.1810489932,595.415863228,1140.459731934,1834.1155077253,1432.3758904738,-1132.7305152716,-1745.4378981612,783.7348894453,1611.1196360481,-1835.5966366052
1986,2163.25,-2163.2301542025,4.6331102647,1084.2988260489,-1531.2859201142,-670.2433087888,1874.2011628892,-1347.729114487,826.7697066937,9.2661992772,2163.2450385449,1871.8831743271,-1528.0098145496,-2056.7995696042,1080.2872597253,1692.1219803738,-1999.0253661706
1987,1534,-1245.1683696436,-470.6738366251,476.2694979567,-903.089789173,-288.8297014772,1241.7232803378,-1059.3609382607,695.6350564084,-895.9418124182,1460.0075820066,1458.1918136226,-1239.9938841347,-1506.563441593,900.7104390797,1109.4640158597,-1367.2043988723
1988,2151.25,-674.8319435638,-1260.1873558936,228.3756582047,-979.004216828,-137.1909227161,1599.8702599294,-1619.0496651284,1122.8966428503,-2042.6645369335,1743.5034816558,2139.0935279318,-1915.5749283004,-2146.8710285493,1438.1556639994,1416.5291187786,-1834.933157359
1989,1738.75,528.6323835985,-1403.9962819541,-178.72874794,-539.4687327604,107.3586656519,1164.5786688797,-1405.9129925451,1021.0901780482,-1656.4417784851,1025.6929378518,1729.5397067312,-1652.9443574645,-1735.4324185659,1291.1266732936,1023.0641328347,-1407.3472957283
1990,2691.75,2168.8448390497,-2557.6851016116,-827.0525745517,-424.7759351923,501.4444050277,1584.1873776404,-2309.6326975725,1746.7294351081,-1594.2490792306,838.907017192,2561.5429142272,-2658.0224730769,-2644.6307060091,2176.2050489383,1382.4307811982,-2048.0367045117
1991,1888,1887.9674048226,-1887.9918511881,-940.7955914241,-2.7735317665,581.3134538392,945.6008469199,-1700.340971481,1334.0366509255,-11.0940672119,5.5470575476,1636.901846525,-1887.9979627959,-1796.2791176166,1634.1306674512,820.6001344767,-1335.9978345745
1992,1712.25,1391.4472543136,-1630.0775478023,-1143.0889758277,265.2355380369,727.1205680132,698.0494121618,-1602.5351061142,1301.1436531959,997.8349567755,-524.0679828522,1274.8127924684,-1691.5821504918,-1550.1921629502,1563.4983468749,603.0599440949,-1113.0252720618
1993,2446,770.9909604993,-1983.5271474549,-1975.7295198317,752.0666849839,1307.9409872203,758.3803776773,-2357.2466648394,1977.6843923476,2321.3119003763,-1431.2707833633,1442.0155562496,-2327.5119121795,-2066.9316326258,2325.4623632203,652.9197202593,-1439.3333332709
1994,2914,-881.5213696008,-1720.8490243167,-2659.3655085566,1318.4919307947,1854.3839540155,609.0997077926,-2866.6616492795,2483.2923193148,2777.4657648542,-2351.6110723307,1191.2896758973,-2598.6486927689,-2247.8114135955,2849.6304226982,523.1127875994,-1524.6820182688
