Year,Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1909,6961.25,2284.7168678909,-5672.8955066661,-5604.0314517473,-2117.6115928943,3706.197350731,2173.4693026385,-332.4250238777,4105.9577361113,-6575.6422040798,4034.5084127992,-4129.6286818946,-6631.3439591187,5892.6312255167,-6613.2467633522,6953.3082173883,-5621.3977471593
1910,6602.75,5417.9999043404,-6299.6034173146,-4385.4158106637,-1000.4001946286,2787.4843544833,2705.5963592746,-904.9291126252,4300.634556517,-3773.8024059385,1977.7017841571,-4936.0344133809,-6526.5233480841,5985.5023628774,-6022.960725688,6540.4442405408,-5010.0748471248
1911,5194.5,5193.5016279797,-5194.2504009982,-2567.7946020298,25.4611666535,1585.8044016522,2611.9361774129,-1170.0649540079,3682.0570528022,101.8385495397,-50.9217215907,-4515.4469470681,-5194.4375998748,4946.5194480261,-4490.0578676808,5061.0056563298,-3664.0532351358
1912,7151.5,5703.5367522444,-6779.8523337045,-2166.1611339249,1152.7875531755,1312.9488780786,4222.1233343388,-2228.6674202926,5449.2252860629,4314.350561301,-2275.424044692,-6815.5482678852,-7057.9765589894,7029.9443449826,-5772.1423059062,6795.3656104529,-4631.4032465045
1913,5436.75,1581.668201587,-4367.9162742364,-534.0952563983,1704.5500518532,320.7884180662,3650.6511869307,-2150.3184027047,4405.9881443845,5201.5936272059,-3237.2145408917,-5410.4521825438,-5162.6310814572,5427.2778953482,-4028.7710872997,4993.4338214789,-3185.2031385837
1914,8845.25,-2889.7442925447,-5132.1504683159,979.251070695,4052.363115062,-588.3228818007,6591.6677743787,-4212.2250590238,7552.5695099748,8359.8938681185,-7204.1293112399,-8790.8767994463,-7862.3661035458,8825.6627937651,-5898.1661145408,7777.8922347017,-4604.0353343018
1915,5782.25,-4739.4550490357,-1736.3325005904,1820.3843857429,3420.1247390235,-1104.303041274,4688.3010076659,-3198.0511229701,5158.0243957701,3312.3980589099,-5515.393413882,-5488.2251913204,-4662.3129272947,5675.8197518538,-3384.4126113728,4817.352392899,-2613.2736931177
1916,7440,-7438.7929205749,67.0099653882,3758.6214505806,5284.5129455082,-2324.5639126582,6454.3684273645,-4653.7176665202,6880.0572786344,-134.0144947555,-7439.6982240235,-6420.776027182,-5237.129264087,7067.5315787032,-3700.6388913052,5804.8696695377,-2831.6800389008
1917,7815.25,-6240.3984770302,2480.7114266768,5263.5887938837,6342.9296283278,-3352.5767821473,7148.9298109542,-5415.0896291799,7438.0680737772,-4704.8442493221,-7411.0865181871,-5776.9166145447,-4565.6736953688,7059.6289904149,-3157.6787551222,5635.1518941772,-2398.5987351693
1918,4003.25,-1170.7305751898,2381.1009415155,3252.2722326496,3574.7834134827,-2156.7824242137,3810.8837149574,-3021.2623572895,3894.6605925629,-3828.2372552933,-3218.1312696679,-2334.252747077,-1801.9251119814,3372.5806346332,-1226.0407307968,2626.4014032371,-926.082842535
