Year,Mean_pen,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1907,1677,-1335.8450527364,-534.8442981658,-1637.8870326864,-978.6202307269,1217.6756511583,181.097275221,220.1511055716,765.2394635247,-1013.8278922379,1589.4246055474,-360.0764754296,-1361.8485393068,1153.0806600478,-1667.1930832713,1662.4868392609,-1492.2257079492
1908,1669.25,-483.0767781693,-994.9923744785,-1520.2465012384,-750.168161615,1058.7217495057,352.6500321196,69.9919555245,875.8359888484,-1597.8211379543,1340.2931534667,-689.3809817311,-1491.1885500496,1290.5440014287,-1631.5739386697,1667.7819667636,-1421.0231817736
1909,1840.5,604.0612526993,-1499.869158559,-1481.6620415789,-559.8799262664,979.8895635152,574.6482674098,-87.8905737399,1085.5830796643,-1738.5483177028,1066.6924379611,-1091.8414924083,-1753.2754256431,1557.9655623004,-1748.4906687663,1838.4002548541,-1486.2535541242
1910,1891,1551.6925249491,-1804.1800858948,-1255.9647568006,-286.5104339923,798.3238672262,774.8714876965,-259.167915183,1231.6837600051,-1080.8012342781,566.4055240379,-1413.6596229909,-1869.1690055245,1714.2228568704,-1724.9507754006,1873.1558909337,-1434.8644937205
1911,1365.25,1364.9876018095,-1365.1843988763,-674.8833536281,6.6918582681,416.7907323815,686.4849102345,-307.5235688631,967.7405700911,26.7658253458,-13.3835557612,-1186.7771574713,-1365.2335996206,1300.0742470724,-1180.1042456158,1330.1642068157,-963.0086975203
1912,1818,1449.9097833434,-1723.5225536845,-550.6650271237,293.0528940324,333.7678893025,1073.3161185525,-566.5549003834,1385.2606544169,1096.7614235398,-578.4410142278,-1732.5969028897,-1794.2251813246,1787.0990448407,-1467.3501659984,1727.466221045,-1177.3601485206
1913,1319,383.7256371717,-1059.6921995159,-129.5758758798,413.5377787087,77.8258929377,885.6778250906,-521.6848251561,1068.9287464833,1261.9491413592,-785.3747145696,-1312.6199344784,-1252.496509209,1316.7019899691,-977.4128043681,1211.4478706085,-772.7563231327
1914,1778.5,-581.0361747029,-1031.9131294084,196.8964166339,814.8020463116,-118.2931228945,1325.3758951678,-846.9452268137,1518.5828409022,1680.910233679,-1448.52253809,-1767.5672691914,-1580.8731370121,1774.5616323689,-1185.9346468117,1563.8881138936,-925.7258802245
1915,1833.25,-1502.6340903013,-550.5005070184,577.1489775024,1084.3432362514,-350.1169182266,1486.4158108528,-1013.935271077,1635.3406067786,1050.188722642,-1748.643689913,-1740.0300630357,-1478.1763455339,1799.506517374,-1073.0207825326,1527.331276628,-828.5328372014
1916,1939.75,-1939.4352913555,17.4707769303,979.9443492962,1377.7733852217,-606.0581787068,1682.7770372285,-1213.3130166173,1793.7622454612,-34.9401365863,-1939.6713212432,-1674.0188573557,-1365.4195551092,1842.6403736276,-964.8271894367,1513.4403147158,-738.2730316476
