Year,Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1931,2542.25,2542.0273223184,-2542.1943299701,-1280.8260811048,-8.4121083444,-2052.7606346686,1266.2651692697,-2288.3983633892,1794.6656206744,33.6475123422,-16.8241245847,2196.0235910531,2542.2360824544,-1499.7362565649,2204.45176486,-1107.3698537244,1800.6138876698
1932,3033.75,2431.1173530329,-2879.1527688075,-2039.6634606486,-484.2568275876,-2206.1360607084,1227.9678413455,-2601.4432746501,1966.5356482666,1814.7472215938,-956.095390831,2245.7542229272,2994.8513130763,-2082.4511384765,2774.1186065346,-1560.8113118753,2310.0598707819
1933,3324.25,987.3380063264,-2677.0129276892,-2697.5566963934,-1037.2024483265,-2112.4959939758,1020.6089394362,-2685.853664392,1949.7073913347,3174.2403380594,-1970.8474947303,1942.6337617377,3158.2984570312,-2566.7097104924,3163.6996468127,-1958.7823145955,2692.4485418806
1934,3498.75,-1121.9528787991,-2039.0952562107,-3202.0655329625,-1597.9623016256,-1867.463029059,720.4251449829,-2630.7663981429,1823.5104825155,3313.9814876149,-2843.1218930252,1409.9744271133,3112.5179589978,-2958.6877830548,3423.7755728109,-2306.5818261883,2985.9774082629
1935,3003.75,-2451.0293543029,-911.1077432205,-2940.5775578748,-1772.8189669001,-1272.4288731425,308.0212841943,-2072.0664384564,1359.6707488716,1736.3666567996,-2862.2363184656,612.7949809054,2424.7942125259,-2720.9260969922,2987.9151512356,-2174.6389900677,2678.3968184649
1936,3939,-3938.7330158952,22.9308786246,-3938.9703348016,-2793.3891360588,-1208.4911746965,-7.6436645853,-2450.8005963522,1502.0920732539,-45.8609801189,-3938.9332534083,-15.2873003877,2777.1744875951,-3749.0358868222,3938.9925836934,-3083.7148760739,3641.3514528905
1937,3637.75,-2918.5990892119,1143.6982175643,-3555.3760596852,-2949.0433409366,-673.5514120826,-387.0760916022,-1999.1113138423,1119.2280038062,-2171.4060925934,-3453.2853125162,-769.7571933521,2129.875216011,-3574.8501448007,3617.0978922072,-3039.2069717885,3461.293650934
1938,3268.75,-975.8237377207,1935.8464195056,-2981.254063278,-2916.5497206682,-198.0650452489,-685.4751429337,-1544.4305374909,758.7010818056,-3119.694631755,-2633.8612724643,-1340.4666249812,1475.9621571607,-3262.7437534,3196.0679578069,-2880.878490559,3179.4809688009
1939,3464,1105.5825005802,2813.2751182572,-2795.163557969,-3297.3080694441,224.8955247341,-1076.3014064832,-1356.5739536831,537.3178051421,-3282.8316031151,-2021.0836472039,-2046.0588173857,1061.6286993006,-3456.6917714709,3292.547840564,-3187.3191098772,3422.0732862224
1940,3289.75,2681.3702939512,3133.9665750472,-2192.8094235598,-3250.5708423877,623.1377513342,-1343.2535615706,-1011.9530162547,253.8598370708,-1905.9665288814,-1000.354221757,-2452.3543574384,506.2057497888,-3230.1941745601,3003.0193026066,-3130.2405906564,3279.9405856848
1941,2119.75,2119.6429422024,2119.7232353816,-1053.7190275336,-2119.7433088349,659.0897760682,-1062.9485297713,-468.7210923038,-2.6630431218,21.3039919187,10.6521304565,-1839.2977664081,-5.3260820404,-2014.6812972732,1833.9794125227,-2067.2785492356,2119.7483272081
1942,3566,2864.4198850153,3386.065364842,-1090.94704215,-3520.7289792759,1524.606274088,-2100.7187874265,-473.7625373011,-284.1095386485,2124.0185315408,1118.4441626732,-3395.024381536,-566.4127951298,-3223.6519211931,2881.5510712381,-3534.3889228904,3554.6642274692
1943,3469.25,1040.951278617,2797.053430473,-351.8074871549,-3296.9207737045,1864.4284963818,-2325.423341855,-150.9865496517,-546.7417892962,3309.3981322962,2052.3614860884,-3451.3659693637,-1079.8189544621,-2925.6797405696,2574.5100201118,-3465.9628711693,3425.8968137317
1944,3357.5,-1066.5225597134,1961.1166150643,361.0755414543,-2988.0809297171,2144.8531565403,-2498.5112947947,154.9914100815,-787.5038185542,3183.604227856,2725.2207015431,-3338.0279662345,-1531.0710654509,-2583.1010794933,2242.8213392474,-3353.9206777741,3263.8388418797
1945,3841.5,-3127.5354909577,1171.0454008035,1197.7716926141,-3102.8771452627,2804.9444434421,-3111.1382327998,520.4293948918,-1191.0960701122,2230.615162416,3658.657529649,-3649.9952359383,-2264.7904254934,-2624.7683553417,2253.4287533471,-3806.0840104933,3652.1791305689
1946,3491.25,-3491.1251299118,-14.7640220715,1754.142088968,-2463.4611495255,2827.9477791736,-3025.9688639021,780.9881854956,-1339.4528405695,-29.5277801125,3491.2187823384,-3018.5778264293,-2473.9009129871,-2047.3245763111,1741.3612483328,-3402.7759280647,3224.0801246853
1947,3945.75,-3173.1963561247,-1234.5654175298,2648.1678124758,-2312.7533986876,3460.7768366633,-3606.7957530595,1223.666337767,-1794.9089586423,-2345.1584057323,3747.638095166,-2925.0897934024,-3196.8914243933,-1895.2484663797,1599.9898306589,-3751.2109719817,3513.8646662451
1948,3245.25,-978.6690682419,-1917.7619467478,2630.4261572123,-1467.656397938,3019.2220567183,-3087.7206843555,1278.7976455137,-1698.3426681756,-3094.1645750293,2617.9833227326,-1900.6593050712,-2894.4139752447,-1189.9351808925,998.8135651379,-2982.6706395995,2765.3715381399
1949,3038.75,960.6801820482,-2465.083007294,2779.1183939985,-933.6033885129,2944.4126536249,-2973.1336651976,1442.8354428804,-1788.4370642626,-2882.8970065404,1776.8982327783,-1229.0250260428,-2891.7790848295,-751.2893501665,628.0746542956,-2674.3648680141,2456.7243291977
1950,2734,2223.33942234,-2603.2062903924,2675.6090039807,-422.841579121,2712.9311038411,-2719.3630703607,1508.493133398,-1777.4570490849,-1591.0744209713,835.5076359084,-562.0253177728,-2701.1036631286,-338.7636725085,282.5252051737,-2280.1764112654,2077.3546732945
1951,2789,2788.9342780341,-2788.9835694601,2788.9926975339,4.7866886116,2788.9973711115,-2788.9981743829,1741.0507268821,-1973.812437206,19.14661345,-9.5733631235,6.3822490451,-2788.995892362,3.829351566,-3.1911266114,-2178.821554516,1970.427735983
1952,3133.75,2523.1441674705,-2977.1876072319,3063.8409555675,495.2915294738,3108.5225304104,-3116.2237288912,2167.7349662713,-2384.5868502729,1858.5296803279,-978.1324112024,658.2307053666,-3094.3618669011,396.8333912756,-330.9663638427,-2263.0320763314,2033.257144585
