Year,Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1954,1357.5,-427.1127252652,-794.6699709479,1096.6666716543,618.0783787022,1261.5800675904,-1290.6454309319,1098.913793498,-1157.9826529548,1288.5577091914,-1100.5934250547,800.0802842732,-1208.6295411667,501.2204934543,-420.7619536206,-796.9910441529,708.4366065188
1955,1166.75,-947.7400886276,-357.442173011,779.0908680393,687.1171323506,1021.8016577656,-1065.4364910179,1002.0727792305,-1039.9517961593,680.5103135942,-1110.6487543113,868.5176922998,-942.9610855864,563.2290250755,-475.5529897998,-597.6250560555,528.966751474
1956,1264.25,-1264.2324277932,3.3328413144,630.199805696,895.1373098949,1022.0155677372,-1094.3167198876,1139.4627301968,-1168.3333014458,-6.6656594667,-1264.2456069407,1095.9818736643,-892.7806331536,744.185623217,-633.0868653466,-547.6794217354,483.0376374908
1957,984.25,-793.399240536,306.4676655068,302.6038132751,796.9908601343,716.8194640044,-795.7970425039,921.7336928632,-936.2655383456,-582.4651986315,-935.3211386999,936.578344129,-577.5410213677,674.4760325797,-579.1848838169,-345.1884441008,303.5702623882
1958,1362.25,-414.9484026532,803.2625974691,140.3004094849,1214.4895091977,867.3573676561,-1011.6445263334,1313.398105309,-1324.7949645897,-1297.5141177018,-1100.2246416106,1355.0058514997,-617.0415663056,1050.4362233248,-912.3050009945,-361.5390428028,317.243383379
1959,1842.25,576.8447206765,1492.7453314558,-195.2037474683,1752.6972284702,985.7836037975,-1231.720536227,1812.8467990176,-1819.7240905766,-1749.6100224701,-1079.6279164216,1831.8789696578,-567.3953540634,1556.3147975214,-1369.9451022347,-327.8285310827,287.2094996259
1960,1131,917.6489256964,1076.3414734559,-350.9315019361,1117.2518083402,480.7378804899,-664.1752296308,1126.504651074,-1127.5577136521,-661.1213573681,-347.3471354693,1075.1781624219,-175.8106844326,1023.7441527365,-915.4410217731,-100.7386276894,88.1737057384
1961,1591.75,1591.7392231682,1591.7473057898,-797.5652606703,1591.7493264473,490.7635410827,-795.0294204707,1591.7497800644,-1591.7498316118,5.8572969723,2.9286534432,1377.5186813514,1.4643273412,1514.2058014827,-1378.9837863753,0.8367585602,-0.7321637481
1962,1224.75,988.4182321863,1164.1687576057,-820.536965059,1209.5098694053,228.6864557307,-497.5238258335,1219.7666589929,-1220.9340225938,723.2163996908,380.4256383512,909.2478493083,192.6095488579,1203.2103172203,-1119.143692842,110.3714641986,-96.6057709091
1963,1148.5,351.5808400694,928.1279127415,-929.8402269512,1092.0181220528,71.4173621247,-354.3520490603,1129.9538856353,-1134.2916430922,1093.3632346554,676.484166548,674.12862448,355.7368003288,1146.2773706164,-1092.4682491161,205.5637768134,-180.0964142096
