Year,Mean_kerala,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1913,3884.75,1130.1578233531,-3121.0305322739,-381.6299346656,1217.9612477926,229.214660796,2608.5192805314,-1536.4784871305,3148.2342288863,3716.7224616339,-2313.1041868265,-3865.9592801098,-3688.8823458299,3877.9818464991,-2878.6993114245,3567.9849244476,-2275.9402018877
1914,5050,-1649.8356380374,-2930.0878850225,559.0817565371,2313.6071598952,-335.8899469312,3763.3670343532,-2404.8768037161,4311.9726435514,4772.896643283,-4113.0384129065,-5018.9568228375,-4488.8441618842,5038.817117494,-3367.4275886415,4440.6156734115,-2628.5722210479
1915,5670.25,-4647.6535936348,-1702.7003954296,1785.1242272919,3353.8782137486,-1082.9131081817,4597.4903867383,-3136.1060798169,5058.1154101112,3248.2381587676,-5408.5623252306,-5381.9203408854,-4572.0056856748,5565.8812655884,-3318.857816531,4724.0420953497,-2562.6555680575
1916,5074.25,-5073.426744251,45.7023275364,2563.4657117754,3604.1585771163,-1585.4057034686,4402.0267463111,-3173.9417835134,4692.3562696386,-91.4009475824,-5074.0441818886,-4379.1159618183,-3571.8418236953,4820.2180259724,-2523.9202814792,3959.0537527757,-1931.2704888969
1917,4788.75,-3823.7686839037,1520.0418213747,3225.2341046941,3886.5940638693,-2054.2723605141,4380.4660928578,-3318.0653800883,4557.6339193629,-2882.8665620346,-4541.1011245921,-3539.7728080229,-2797.5905964233,4325.7475228367,-1934.8497026444,3452.9072816917,-1469.7277365461
1918,2875,-840.7794676002,1710.0269048541,2335.6729329589,2567.2896555955,-1548.9288627027,2736.8489803291,-2169.7693816792,2797.0147264393,-2749.3117114765,-2311.1540374184,-1676.3821015041,-1294.0822324228,2422.0743956961,-880.5013678988,1886.1934763771,-665.0816642199
1919,4881.75,1587.5180114475,3973.74817489,4470.9184844695,4649.2111274532,-3124.559063623,4777.9383301828,-3956.3993811231,4823.2649462758,-4616.4130692378,-2835.6319410421,-1960.1966655744,-1488.730652222,3750.8150741447,-1001.3932172082,2859.7879291214,-753.3912134659
1920,5985.75,4900.7876264782,5708.0685261169,5861.7999847476,5915.9223390231,-4377.1176385178,5954.6818689668,-5145.7868638781,5968.2675544628,-3436.7839185289,-1801.9868933081,-1211.8184687953,-911.6281814139,4082.8965503766,-609.070522927,3057.7901520607,-457.1492763271
1921,4549,4548.3866949755,4548.8466711598,4548.9318536361,4548.9616676285,-3688.9798650149,4548.9829633771,-4103.1262100908,4548.990416897,74.6958698306,37.3491938092,24.8996179603,18.6747542683,2661.7341256247,12.4498556065,1964.1171818571,9.3373968047
1922,5795.25,4632.9993642478,5497.0133767418,5662.0609597412,5720.2049497401,-5087.3811903325,5761.8565297758,-5430.385000452,5776.4582703194,3481.413427529,1835.1475413224,1235.3089697216,929.6116906905,2775.5134996522,621.2341690377,2023.8184971401,466.3179320584
1923,6664,1959.0006672197,5360.208785409,6073.5219640581,6329.6653681678,-6203.7438017737,6514.7082194248,-6427.8297271669,6579.8854858375,6369.553546822,3959.4264454368,2742.4855427338,2084.2822090632,2433.6102485719,1402.6663237415,1758.3802201314,1055.4634021438
1924,7788.25,-2520.9626835938,4528.9596179476,6277.1436778347,6925.6590952407,-7549.5225810534,7400.8378684915,-7666.143332377,7569.5311119979,7368.9609315308,6336.036840289,4610.2391814655,3562.5951438537,1913.516882775,2425.7858328389,1373.7119312109,1832.767526719
1925,4863.25,-3977.2970291873,1467.7552223217,3235.8605573867,3923.5991861718,-4826.7261672352,4437.7922111232,-4844.6039470254,4622.3719184338,2798.6262530246,4636.474433214,3630.4830278696,2873.4247839072,594.9076138589,1989.2714378371,425.4564125336,1511.5814269086
