Year,Mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1949,2899.5,916.6572399338,-2352.1211615463,2651.7659509333,-890.8212340578,2809.4856402091,-2836.8905182198,1376.7178499816,-1706.4823588085,-2750.7889331021,1695.4722915477,-1172.7052449234,-2759.2639922544,-716.8616933962,599.2932818199,-2551.8127305,2344.1455178967
1950,1708,1388.9772250756,-1626.289811262,1671.5216455007,-264.1599916381,1694.8377195906,-1698.8559342268,942.3943935054,-1110.4230577312,-993.9850442644,521.963073201,-351.1116469481,-1687.4488136882,-211.6343645371,176.5007499768,-1424.4847514416,1297.7768039455
1951,2076.5,2076.4510678873,-2076.4877669358,2076.4945630796,3.5638432779,2076.4980427081,-2076.4986407695,1296.2681370995,-1469.5666998416,14.2552681351,-7.1276760581,4.7517892227,-2076.4969417317,2.8510751262,-2.3758961666,-1622.2025664943,1467.0466811648
1952,1684.75,1356.4793414108,-1600.5797594843,1647.1658715253,266.2759965795,1671.1873420371,-1675.3276193856,1165.4061378303,-1281.9888938164,999.1728373139,-525.8583421694,353.8744893072,-1663.5743614716,213.3434562271,-177.9323754237,-1216.6392630552,1093.1088869053
1953,2438.75,739.155428091,-1968.516810032,2225.8449280288,757.2255912324,2361.374900242,-2384.9298606804,1837.9799087925,-1974.1055535505,2324.0376106302,-1439.5982533754,996.5520151345,-2318.2128820457,609.4342811224,-509.520482547,-1602.913415433,1431.9248674218
1954,2664,-838.1792265977,-1559.4849374623,2152.1326064729,1212.9361332322,2475.7637569509,-2532.8025252321,2156.5424279032,-2272.460985246,2528.705515496,-2159.8385888367,1570.102303723,-2371.8520056487,983.610603729,-825.7162758346,-1564.0398833321,1390.2579151132
1955,2664.75,-2164.5514473285,-816.3651429451,1779.3720939428,1569.3125163327,2333.7012792208,-2433.3592367172,2288.6423299373,-2375.154530804,1554.2231481895,-2536.6198997651,1983.6147594222,-2153.6366426539,1286.3634408142,-1086.1194168152,-1364.9208211905,1208.1115500239
1956,2406.25,-2406.2165547774,6.3434047165,1199.4607731509,1703.7169483366,1945.2046350544,-2082.8155880795,2168.7420957375,-2223.6915219332,-12.6867653484,-2406.2416386798,2085.9848791812,-1699.2314799493,1416.4102478671,-1204.9557205777,-1042.3995321739,919.3666721078
1957,2253.25,-1816.3341008259,701.598442777,692.752900444,1824.5564191999,1641.0195146233,-1821.8234046451,2110.1310068012,-2143.3988562634,-1333.4414110403,-2141.2368359415,2144.1149646011,-1322.1684596361,1544.0824185016,-1325.9317647554,-790.2421759412,694.9653987566
1958,2692.25,-820.0732883415,1587.5087010726,277.2793374459,2400.2271103963,1714.1808574579,-1999.3393107148,2595.7027337259,-2618.2266422585,-2564.3107971244,-2174.4024895402,2677.9332014682,-1219.4752482189,2076.0043474003,-1803.0120307781,-714.5189854916,626.9763251254
1959,3355.5,1050.6730683837,2718.9072925499,-355.5468446899,3192.3873253532,1795.5200882305,-2243.4730678842,3301.9445971521,-3314.4709924981,-3186.7642450255,-1966.4494360444,3336.6100598109,-1033.4618594435,2834.6936100328,-2495.2372319438,-597.1114865235,523.1274126718
1960,2077,1685.1961261462,1976.623554702,-644.4604151383,2051.7524367131,882.8404754884,-1219.7099486677,2068.7446156327,-2070.6784891737,-1214.1017323198,-637.8779844117,1974.4872178163,-322.8636530208,1880.0323653702,-1681.1414696929,-184.9992305137,161.9246567805
