Year,Mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1946,2912.75,-2912.6458208809,-12.3176241428,1463.480807631,-2055.2657252504,2359.3569334158,-2524.5659314947,651.5784711213,-1117.5055528446,-24.635028005,2912.7239551038,-2518.3995886665,-2063.9756202802,-1708.0829673183,1452.8177518314,-2838.9360786166,2689.8501634592
1947,2965.5,-2384.8732925522,-927.8600381891,1990.2785650123,-1738.1917769266,2601.009620256,-2710.7527860858,919.668637052,-1348.9963927906,-1762.5463478931,2816.6054035899,-2198.4043039561,-2402.6817510076,-1424.4083702842,1202.5013857489,-2819.2906639832,2640.9087417474
1948,2807.5,-846.6569321591,-1659.0760851998,2275.6094095596,-1269.685028029,2611.960842535,-2671.2197277029,1106.3013295677,-1469.2541532711,-2676.7944054834,2264.8449822269,-1644.2804095177,-2503.9880550033,-1029.4254742641,864.0841488713,-2580.3398261076,2392.3520817588
1949,2578.5,815.1752692427,-2091.7207846343,2358.1922760757,-792.1995350985,2498.4510168233,-2522.8219352405,1224.3031475005,-1517.5598421065,-2446.2525483717,1507.7686855512,-1042.8765214813,-2453.7893443794,-637.4988364967,532.9462759692,-2269.3047510241,2084.6281144669
1950,2907.75,2364.6361394693,-2768.6441444362,2845.648164347,-449.7138265139,2885.3421423533,-2892.1828704614,1604.360244564,-1890.4172401158,-1692.1897028454,888.6054602461,-597.7429106635,-2872.7630491814,-360.2926366996,300.4801263145,-2425.0852084334,2209.373830019
1951,2743,2742.9353620106,-2742.983840455,2742.9928179761,4.7077400006,2742.9974144707,-2742.9982044934,1712.3349386294,-1941.2576246884,18.8308213314,-9.415466134,6.2769842706,-2742.9959601108,3.7661926661,-3.1384941897,-2142.8854514297,1937.9287485842
1952,3136.5,2525.3583346697,-2979.8002170189,3066.5296073833,495.726169029,3111.250392224,-3118.9583488368,2169.6372466565,-2386.6794274849,1860.160619816,-978.9907643355,658.8083310355,-3097.0773021253,397.1816295926,-331.2568010188,-2265.0179840171,2035.0414149153
1953,3060,927.4487380661,-2469.9790625107,2792.8592433698,950.1221154982,2962.9142776998,-2992.4696560459,2306.189039838,-2476.991489027,2916.0656436815,-1806.3231800425,1250.4148298562,-2908.7571169902,764.6822758523,-639.3163204896,-2011.2414356638,1796.6950668624
1954,2524.25,-794.2094267039,-1477.6763713924,2039.2345089674,1149.3070699367,2345.8883871935,-2399.9349753442,2043.4129968599,-2153.2506163691,2396.0528894485,-2046.5362454471,1487.7367643291,-2247.4277121842,932.0116615852,-782.4002662445,-1481.9923706835,1317.3267801143
1955,2859.25,-2322.5419742092,-875.951603327,1909.2483946359,1683.856576536,2504.038045825,-2610.9700338057,2455.6902455665,-2548.5169686467,1667.6658359925,-2721.7676886775,2128.3987244124,-2310.8304983612,1380.2550588791,-1165.3952312708,-1464.5463394273,1296.29156559
