Year,Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1951,4329.75,4329.6479707128,-4329.7244926031,4329.738663373,7.4310380122,4329.7459188131,-4329.7471658423,2702.8735692785,-3064.2217282153,29.7239331607,-14.8620541356,9.9080468996,-4329.7436231461,5.9448314604,-4.9540266926,-3382.4857029995,3058.9671889109
1952,4204.75,3385.4616476016,-3994.6803642628,4110.9486263813,664.5638798739,4170.900713121,-4181.2338967867,2908.5867090321,-3199.5505572189,2493.7064773382,-1312.4219404877,883.1896476715,-4151.9004578707,532.4563867462,-444.0784422393,-3036.4528513616,2728.1493350438
1953,4053.75,1228.6422620704,-3272.1168708015,3699.8539731406,1258.6789299675,3925.1352134724,-3964.2888458158,3055.1352353737,-3281.4066172037,3863.0722559065,-2392.9354872867,1656.4931753364,-3853.3902493461,1013.0165933778,-846.9374294721,-2664.4019509223,2380.1805971548
1954,3655,-1149.9793818373,-2139.6086510604,2952.7194732202,1664.1447323437,3396.7404398107,-3474.9974586048,2958.7697349798,-3117.8096475504,3469.3763735503,-2963.2920578822,2154.175645686,-3254.1738290713,1349.5107945306,-1132.8802508166,-2145.8580231151,1907.4296845866
1955,4101,-3331.2038598346,-1256.370560547,2738.420098418,2415.1423696334,3591.5222614071,-3744.8939787137,3522.17738815,-3655.3180338971,2391.9201166058,-3903.8101919267,3052.7457091249,-3314.4061812641,1979.689078067,-1671.5173011949,-2100.5874050857,1859.2608937604
1956,4086.5,-4086.4432004563,10.7729136099,2037.0270958882,2893.3981545466,3303.5132430753,-3537.2159587271,3683.143719161,-3776.4635446774,-21.5457523517,-4086.4858000894,3542.5983205294,-2885.7805476624,2405.4692895205,-2046.3590866039,-1770.2922340691,1561.347285431
1957,3314.5,-2671.8026748862,1032.041734643,1019.0300625859,2683.8975930048,2413.9173110923,-2679.8773658921,3103.9739141429,-3152.910466697,-1961.4741182261,-3149.7301643086,3153.9638522891,-1944.891760552,2271.3241655935,-1950.4275310248,-1162.4354564106,1022.2846174098
1958,3248.75,-989.5860694584,1915.6537812647,334.5942046717,2896.3646856347,2068.5096334539,-2412.6116020743,3132.2459861424,-3159.4256863357,-3094.3651971986,-2623.8611153844,3231.4738557971,-1471.5461835458,2505.1236414214,-2175.7026037665,-862.2132246693,756.5751086456
1959,3052.75,955.8760868748,2473.593871951,-323.4676293033,2904.3541670308,1633.5192815812,-2041.0557019769,3004.0266335735,-3015.4228348528,-2899.2384291467,-1789.0265283518,3035.5644047348,-940.2177593254,2578.9333685077,-2270.1044433963,-543.2371004275,475.9282399148
1960,4411.75,3579.5204667913,4198.5406680099,-1368.8965991749,4358.1217201102,1875.2390311681,-2590.7825546628,4394.2147607211,-4398.3224962022,-2578.870157709,-1354.9148761331,4194.0028806938,-685.793799333,3993.3715878295,-3570.9079821461,-392.9563578328,343.9437190906
1961,3146.5,3146.4786968424,3146.4946742061,-1576.5912314742,3146.4986685512,970.1193541805,-1571.5784963161,3146.4995652412,-3146.4996671378,11.5784419182,5.789230758,2723.0171389176,2.8946166039,2993.2141067161,-2725.9132928097,1.6540667879,-1.447308455
